model,prob_bin,games,mean_predicted_probability,actual_win_rate,calibration_error,absolute_calibration_error
Conservative_Elo,0.00-0.50,3568,0.400249254114666,1.0,0.599750745885334,0.599750745885334
Conservative_Elo,0.50-0.55,1567,0.524881493474569,1.0,0.475118506525431,0.475118506525431
Conservative_Elo,0.55-0.60,1351,0.5744437393784365,1.0,0.4255562606215635,0.4255562606215635
Conservative_Elo,0.60-0.65,1181,0.6237215128595809,1.0,0.3762784871404191,0.3762784871404191
Conservative_Elo,0.65-0.70,934,0.6739833609013783,1.0,0.32601663909862166,0.32601663909862166
Conservative_Elo,0.70-0.75,742,0.7242656516069643,1.0,0.2757343483930357,0.2757343483930357
Conservative_Elo,0.75-0.80,640,0.7740728159582406,1.0,0.22592718404175938,0.22592718404175938
Conservative_Elo,0.80-0.85,572,0.8239102424906706,1.0,0.17608975750932943,0.17608975750932943
Conservative_Elo,0.85-0.90,445,0.875160981466915,1.0,0.12483901853308499,0.12483901853308499
Conservative_Elo,0.90-0.95,299,0.9231099719768775,1.0,0.0768900280231225,0.0768900280231225
Conservative_Elo,0.95-1.00,80,0.9649010569476205,1.0,0.03509894305237948,0.03509894305237948
Default_Elo,0.00-0.50,3402,0.3802585416682571,1.0,0.6197414583317429,0.6197414583317429
Default_Elo,0.50-0.55,1181,0.5249460507046051,1.0,0.4750539492953949,0.4750539492953949
Default_Elo,0.55-0.60,1180,0.574400695012688,1.0,0.425599304987312,0.425599304987312
Default_Elo,0.60-0.65,1098,0.6244336087590069,1.0,0.3755663912409931,0.3755663912409931
Default_Elo,0.65-0.70,953,0.6734817488029059,1.0,0.3265182511970941,0.3265182511970941
Default_Elo,0.70-0.75,851,0.7240045624761597,1.0,0.27599543752384026,0.27599543752384026
Default_Elo,0.75-0.80,712,0.7745622745262867,1.0,0.22543772547371332,0.22543772547371332
Default_Elo,0.80-0.85,631,0.8252308358954626,1.0,0.17476916410453736,0.17476916410453736
Default_Elo,0.85-0.90,652,0.8738594547805069,1.0,0.12614054521949314,0.12614054521949314
Default_Elo,0.90-0.95,454,0.9241689141940118,1.0,0.07583108580598819,0.07583108580598819
Default_Elo,0.95-1.00,265,0.967446343732021,1.0,0.032553656267979014,0.032553656267979014
Validation_best_Elo,0.00-0.50,3364,0.35172030614637306,1.0,0.6482796938536269,0.6482796938536269
Validation_best_Elo,0.50-0.55,825,0.5259219992571995,1.0,0.4740780007428005,0.4740780007428005
Validation_best_Elo,0.55-0.60,845,0.574444515824835,1.0,0.425555484175165,0.425555484175165
Validation_best_Elo,0.60-0.65,951,0.6244493575303938,1.0,0.37555064246960623,0.37555064246960623
Validation_best_Elo,0.65-0.70,837,0.6743458032843136,1.0,0.3256541967156864,0.3256541967156864
Validation_best_Elo,0.70-0.75,868,0.7243991625232783,1.0,0.2756008374767217,0.2756008374767217
Validation_best_Elo,0.75-0.80,803,0.7752052079274793,1.0,0.22479479207252073,0.22479479207252073
Validation_best_Elo,0.80-0.85,761,0.8246321554706195,1.0,0.17536784452938048,0.17536784452938048
Validation_best_Elo,0.85-0.90,768,0.8746940188193305,1.0,0.1253059811806695,0.1253059811806695
Validation_best_Elo,0.90-0.95,759,0.9246009094351719,1.0,0.07539909056482808,0.07539909056482808
Validation_best_Elo,0.95-1.00,598,0.9729645152160545,1.0,0.027035484783945463,0.027035484783945463
Glicko_C0_match_by_match,0.00-0.50,3486,0.35963098795519083,1.0,0.6403690120448091,0.6403690120448091
Glicko_C0_match_by_match,0.50-0.55,849,0.5251853321181789,1.0,0.47481466788182114,0.47481466788182114
Glicko_C0_match_by_match,0.55-0.60,944,0.5749764946192543,1.0,0.42502350538074574,0.42502350538074574
Glicko_C0_match_by_match,0.60-0.65,1009,0.6246186979831948,1.0,0.3753813020168052,0.3753813020168052
Glicko_C0_match_by_match,0.65-0.70,984,0.6756266950316833,1.0,0.32437330496831673,0.32437330496831673
Glicko_C0_match_by_match,0.70-0.75,891,0.7233264245168602,1.0,0.27667357548313976,0.27667357548313976
Glicko_C0_match_by_match,0.75-0.80,878,0.7749198080065197,1.0,0.22508019199348028,0.22508019199348028
Glicko_C0_match_by_match,0.80-0.85,768,0.82483774813315,1.0,0.17516225186684997,0.17516225186684997
Glicko_C0_match_by_match,0.85-0.90,675,0.8746638146819925,1.0,0.1253361853180075,0.1253361853180075
Glicko_C0_match_by_match,0.90-0.95,569,0.9233300213727089,1.0,0.07666997862729108,0.07666997862729108
Glicko_C0_match_by_match,0.95-1.00,326,0.9689499265986393,1.0,0.03105007340136068,0.03105007340136068
Glicko_low_inflation_match_by_match,0.00-0.50,3284,0.34146075660808833,1.0,0.6585392433919117,0.6585392433919117
Glicko_low_inflation_match_by_match,0.50-0.55,705,0.5258527353860943,1.0,0.47414726461390566,0.47414726461390566
Glicko_low_inflation_match_by_match,0.55-0.60,825,0.5751617205703732,1.0,0.4248382794296268,0.4248382794296268
Glicko_low_inflation_match_by_match,0.60-0.65,841,0.6259005604431428,1.0,0.3740994395568572,0.3740994395568572
Glicko_low_inflation_match_by_match,0.65-0.70,859,0.6752634195497844,1.0,0.3247365804502156,0.3247365804502156
Glicko_low_inflation_match_by_match,0.70-0.75,854,0.7261491719143487,1.0,0.2738508280856513,0.2738508280856513
Glicko_low_inflation_match_by_match,0.75-0.80,851,0.7753298228343217,1.0,0.22467017716567828,0.22467017716567828
Glicko_low_inflation_match_by_match,0.80-0.85,877,0.8242247505078564,1.0,0.17577524949214363,0.17577524949214363
Glicko_low_inflation_match_by_match,0.85-0.90,854,0.8759773446339786,1.0,0.12402265536602142,0.12402265536602142
Glicko_low_inflation_match_by_match,0.90-0.95,811,0.9247654309529796,1.0,0.07523456904702042,0.07523456904702042
Glicko_low_inflation_match_by_match,0.95-1.00,618,0.971454829266313,1.0,0.02854517073368701,0.02854517073368701
