elo_setting_name,glicko_setting_name,group_id,group_description,number_of_overlapping_players,pearson_rating_correlation,spearman_rank_correlation,top50_overlap,top100_overlap,mean_abs_rank_difference,mean_abs_rating_difference,mean_abs_centered_rating_difference
conservative_k10_scale500,glicko1_match_by_match_rd350_c0,total_games_ge100,total games >= 100,1831,0.889485035104565,0.896900382797377,0.7,0.73,178.02621518296013,175.61764618815624,98.43929207237466
conservative_k10_scale500,glicko1_match_by_match_rd350_c0,total_games_ge200,total games >= 200,1206,0.9188526456889686,0.9214772958886243,0.72,0.75,100.35157545605307,170.56295840986607,93.39669364025445
conservative_k10_scale500,glicko1_match_by_match_rd350_c0,active_2025_games_ge5,active 2025 players with 2025 games >= 5,950,0.8482922418505845,0.8803682336781713,0.86,0.89,97.1978947368421,273.918322042443,100.29112916126863
conservative_k10_scale500,glicko1_match_by_match_rd350_c0,active_2025_games_ge5_total_games_ge100,active 2025 players with 2025 games >= 5 and total games >= 100,565,0.9409198709795257,0.9452201012233429,0.86,0.92,39.50442477876106,225.61036511970767,63.27377497594602
default_k20_scale500,glicko1_match_by_match_rd350_c0,total_games_ge100,total games >= 100,1831,0.8838232130705526,0.8823444997327508,0.66,0.71,191.66575641725834,206.82189822746497,101.24773125379312
default_k20_scale500,glicko1_match_by_match_rd350_c0,total_games_ge200,total games >= 200,1206,0.9041497035944126,0.9009700831495201,0.7,0.72,114.77943615257048,215.18173948528437,100.0041257393685
default_k20_scale500,glicko1_match_by_match_rd350_c0,active_2025_games_ge5,active 2025 players with 2025 games >= 5,950,0.877425134758233,0.9038845367433269,0.84,0.86,87.70315789473685,311.390324737589,105.38369897445409
default_k20_scale500,glicko1_match_by_match_rd350_c0,active_2025_games_ge5_total_games_ge100,active 2025 players with 2025 games >= 5 and total games >= 100,565,0.9422116454872531,0.9396141616872243,0.84,0.89,41.107964601769915,293.2502994771304,88.22504408949833
validation_best_k30_scale300,glicko1_match_by_match_rd350_c0,total_games_ge100,total games >= 100,1831,0.8554195279470846,0.8468538941986663,0.64,0.63,221.77389404696888,207.50501366652358,92.74550166263379
validation_best_k30_scale300,glicko1_match_by_match_rd350_c0,total_games_ge200,total games >= 200,1206,0.8720556456236028,0.864370358584304,0.7,0.63,135.69651741293532,202.77684207633033,89.14792075537817
validation_best_k30_scale300,glicko1_match_by_match_rd350_c0,active_2025_games_ge5,active 2025 players with 2025 games >= 5,950,0.8995942900162525,0.9140835438161442,0.8,0.8,82.40631578947368,302.32768682120417,92.60409069869857
validation_best_k30_scale300,glicko1_match_by_match_rd350_c0,active_2025_games_ge5_total_games_ge100,active 2025 players with 2025 games >= 5 and total games >= 100,565,0.92730949073855,0.9218479813547854,0.8,0.83,47.260176991150445,273.3507500902098,68.77179564845416
