comparison,reference_rating_period,comparison_rating_period,group,players,spearman,pearson,top50_overlap,top100_overlap,mean_abs_rank_diff,mean_abs_rating_diff,mean_abs_centered_rating_diff
event_level_vs_match_by_match,match_by_match,event_level,all_common_players,5143,0.9895144014063142,0.9808790662026723,0.94,0.98,142.6721757728952,29.562265403891132,29.46054301583551
event_level_vs_match_by_match,match_by_match,event_level,active_2025_games_ge5,950,0.9955556667477866,0.9885949711667994,0.96,0.96,106.00736842105263,26.01064575265328,25.696987170066297
event_level_vs_match_by_match,match_by_match,event_level,total_games_ge100,1831,0.9977797564467378,0.99791442765279,0.94,0.97,82.84107045330421,18.742906787768238,17.5334392737175
event_level_vs_match_by_match,match_by_match,event_level,active_2025_games_ge5_and_total_games_ge100,565,0.9980797903943613,0.9983121940772112,0.96,0.97,74.22300884955752,20.2318174326236,18.59240132906264
monthly_vs_match_by_match,match_by_match,monthly,all_common_players,5143,0.9886976050107451,0.9834527102953822,0.98,0.97,145.54501263853783,32.999016756303476,29.22538285700725
monthly_vs_match_by_match,match_by_match,monthly,active_2025_games_ge5,950,0.9960566616169456,0.989782214503455,0.96,0.97,103.85894736842106,29.44134610710569,25.06627265016791
monthly_vs_match_by_match,match_by_match,monthly,total_games_ge100,1831,0.9978158960003463,0.9979114279207294,0.96,0.96,76.198798470781,20.374994379691483,17.227363122128043
monthly_vs_match_by_match,match_by_match,monthly,active_2025_games_ge5_and_total_games_ge100,565,0.9983131217095262,0.9984878681087848,0.96,0.99,70.3787610619469,20.28774525468551,18.041450269098924
yearly_vs_match_by_match,match_by_match,yearly,all_common_players,5143,0.9668315834351572,0.9617758254872262,0.92,0.91,266.395489014194,56.64130043834956,52.307239237717226
yearly_vs_match_by_match,match_by_match,yearly,active_2025_games_ge5,950,0.9815027151801481,0.9776988182279915,0.94,0.93,232.88736842105263,66.45270790814318,53.88899910836807
yearly_vs_match_by_match,match_by_match,yearly,total_games_ge100,1831,0.9910927739307593,0.9919700010988948,0.94,0.96,188.5172037138176,56.702103688572926,36.2432870245367
yearly_vs_match_by_match,match_by_match,yearly,active_2025_games_ge5_and_total_games_ge100,565,0.9914121833942886,0.9925854400427001,0.94,0.96,171.329203539823,67.89680477544319,39.393331848415315
