variant,probability_bin,games,mean_prediction,actual_win_rate,brier
C0_no_inflation,0.0-0.1,50,0.07559072490411695,1.0,0.8548234304784407
C0_no_inflation,0.1-0.2,290,0.1575390826063323,1.0,0.7105239104577947
C0_no_inflation,0.2-0.3,580,0.25556580673192847,1.0,0.5549937356307577
C0_no_inflation,0.3-0.4,1069,0.35351586686659303,1.0,0.4187568780176246
C0_no_inflation,0.4-0.5,1497,0.4529533227961568,1.0,0.3000939645619011
C0_no_inflation,0.5-0.6,1793,0.5513999765136139,1.0,0.20206162088453272
C0_no_inflation,0.6-0.7,1993,0.6498027768069343,1.0,0.12349503049137209
C0_no_inflation,0.7-0.8,1769,0.7489335419300435,1.0,0.06390745730655581
C0_no_inflation,0.8-0.9,1443,0.8481451597204462,1.0,0.023886898328002837
C0_no_inflation,0.9-1.0,895,0.9399468807063998,1.0,0.004280214673111849
high_inflation,0.0-0.1,150,0.06858224732403724,1.0,0.8679632537215648
high_inflation,0.1-0.2,469,0.15615134447748774,1.0,0.7129006608551713
high_inflation,0.2-0.3,651,0.2529512586305699,1.0,0.5589109584734282
high_inflation,0.3-0.4,943,0.3514806463384216,1.0,0.42138750283838383
high_inflation,0.4-0.5,1131,0.4510224950840673,1.0,0.3022139329654985
high_inflation,0.5-0.6,1330,0.551474609296646,1.0,0.20198815068972986
high_inflation,0.6-0.7,1509,0.6505677065218114,1.0,0.12291352947731464
high_inflation,0.7-0.8,1651,0.751192974060613,1.0,0.06274822178053946
high_inflation,0.8-0.9,1751,0.8507080927920454,1.0,0.023105013482734617
high_inflation,0.9-1.0,1794,0.9471521198261813,1.0,0.0035777536871959294
low_inflation,0.0-0.1,90,0.07330943045031069,1.0,0.8591031270633822
low_inflation,0.1-0.2,370,0.15506872244218262,1.0,0.7147515060140592
low_inflation,0.2-0.3,630,0.25353047261432476,1.0,0.5580056228205802
low_inflation,0.3-0.4,964,0.35337099329017635,1.0,0.4189621412251757
low_inflation,0.4-0.5,1230,0.4528536694130667,1.0,0.30020361623442454
low_inflation,0.5-0.6,1530,0.5524409136717349,1.0,0.2011212337628574
low_inflation,0.6-0.7,1700,0.6508433227799694,1.0,0.1227244066149576
low_inflation,0.7-0.8,1705,0.7506962299395084,1.0,0.06296462855764196
low_inflation,0.8-0.9,1731,0.8497572261772431,1.0,0.02344703661318697
low_inflation,0.9-1.0,1429,0.9449572071304744,1.0,0.0037585140888514797
medium_inflation,0.0-0.1,112,0.0714399897650043,1.0,0.8626098457750306
medium_inflation,0.1-0.2,403,0.15486553195790517,1.0,0.715117026430215
medium_inflation,0.2-0.3,648,0.25063311399205346,1.0,0.5624191737686804
medium_inflation,0.3-0.4,971,0.3529800814670282,1.0,0.4194543872675666
medium_inflation,0.4-0.5,1171,0.4523188306440675,1.0,0.30079658325841857
medium_inflation,0.5-0.6,1425,0.551456390278397,1.0,0.2019951303299271
medium_inflation,0.6-0.7,1622,0.6508346308001737,1.0,0.12273801303986187
medium_inflation,0.7-0.8,1664,0.7507754541395426,1.0,0.06294220008654314
medium_inflation,0.8-0.9,1754,0.8497017134192836,1.0,0.023438703924517867
medium_inflation,0.9-1.0,1609,0.9455878116615171,1.0,0.0037262025472508085
