variant,gap_group,games,log_loss,brier,accuracy,mean_prediction,actual_win_rate
C0_no_inflation,gap_1_to_11_months,1585,0.556956422430732,0.18924240874922807,0.7085173501577287,0.6240079373412486,1.0
C0_no_inflation,no_gap_or_same_period,9491,0.5725125447264484,0.19601258809710548,0.6929722895374565,0.6067174949391811,1.0
C0_no_inflation,gap_36plus_months,55,0.5850621274660673,0.20397408859908434,0.6727272727272727,0.613020963993061,1.0
C0_no_inflation,gap_12_to_35_months,246,0.6431914840763795,0.22492656021437676,0.6341463414634146,0.5904699076696699,1.0
C0_no_inflation,new_or_missing_gap,2,0.6931471805599453,0.25,1.0,0.5,1.0
low_inflation,gap_1_to_11_months,1585,0.5380659128921856,0.18193383312368755,0.7205047318611988,0.6459455024854914,1.0
low_inflation,no_gap_or_same_period,9491,0.5536537377638472,0.1883549329830733,0.7107786323885786,0.6280409390573172,1.0
low_inflation,gap_36plus_months,55,0.4782414887238585,0.15417181420706708,0.8,0.6690057905653077,1.0
low_inflation,gap_12_to_35_months,246,0.600420713980005,0.20767884766778813,0.6626016260162602,0.6174006438219033,1.0
low_inflation,new_or_missing_gap,2,0.6931471805599453,0.25,1.0,0.5,1.0
medium_inflation,gap_1_to_11_months,1585,0.53980429630047,0.18275752257052222,0.722397476340694,0.6488002377556893,1.0
medium_inflation,no_gap_or_same_period,9491,0.5564397085734857,0.18944615543905916,0.7084606469286693,0.6310199111797358,1.0
medium_inflation,gap_36plus_months,55,0.4781740668789554,0.1534464817177161,0.7818181818181819,0.6715499934097777,1.0
medium_inflation,gap_12_to_35_months,246,0.5971299668404061,0.20690362751536032,0.6585365853658537,0.620060283311699,1.0
medium_inflation,new_or_missing_gap,2,0.6931471805599453,0.25,1.0,0.5,1.0
high_inflation,gap_1_to_11_months,1585,0.5450462709005945,0.18473336985346545,0.7141955835962145,0.6508766818129897,1.0
high_inflation,no_gap_or_same_period,9491,0.5628505332575345,0.19169348025557212,0.7058265725424085,0.633381838413835,1.0
high_inflation,gap_36plus_months,55,0.4814212966463308,0.1538029689132671,0.7818181818181819,0.6738778149947912,1.0
high_inflation,gap_12_to_35_months,246,0.5978553400290296,0.20746897964982094,0.6544715447154471,0.6210760272655104,1.0
high_inflation,new_or_missing_gap,2,0.6931471805599453,0.25,1.0,0.5,1.0
