sample_index,match_id,match_sequence,player_id,variable,expected_value,calculated_value,difference,passed
0,446382,446378,4710,total_games_before,30,30.0,0.0,True
0,446382,446378,4710,games_last_90_days,3,3.0,0.0,True
0,446382,446378,4710,games_last_365_days,10,10.0,0.0,True
0,446382,446378,4710,games_previous_calendar_year,7,7.0,0.0,True
0,446382,446378,4710,days_since_last_game,0,0.0,0.0,True
1,451423,451419,1567,total_games_before,2333,2333.0,0.0,True
1,451423,451419,1567,games_last_90_days,19,19.0,0.0,True
1,451423,451419,1567,games_last_365_days,54,54.0,0.0,True
1,451423,451419,1567,games_previous_calendar_year,51,51.0,0.0,True
1,451423,451419,1567,days_since_last_game,0,0.0,0.0,True
2,447236,447244,4838,total_games_before,17,17.0,0.0,True
2,447236,447244,4838,games_last_90_days,4,4.0,0.0,True
2,447236,447244,4838,games_last_365_days,11,11.0,0.0,True
2,447236,447244,4838,games_previous_calendar_year,7,7.0,0.0,True
2,447236,447244,4838,days_since_last_game,0,0.0,0.0,True
3,448221,448495,4213,total_games_before,398,398.0,0.0,True
3,448221,448495,4213,games_last_90_days,22,22.0,0.0,True
3,448221,448495,4213,games_last_365_days,48,48.0,0.0,True
3,448221,448495,4213,games_previous_calendar_year,48,48.0,0.0,True
3,448221,448495,4213,days_since_last_game,6,6.0,0.0,True
4,452302,452274,3608,total_games_before,830,830.0,0.0,True
4,452302,452274,3608,games_last_90_days,35,35.0,0.0,True
4,452302,452274,3608,games_last_365_days,72,72.0,0.0,True
4,452302,452274,3608,games_previous_calendar_year,61,61.0,0.0,True
4,452302,452274,3608,days_since_last_game,0,0.0,0.0,True
5,453073,453097,4669,total_games_before,15,15.0,0.0,True
5,453073,453097,4669,games_last_90_days,4,4.0,0.0,True
5,453073,453097,4669,games_last_365_days,4,4.0,0.0,True
5,453073,453097,4669,games_previous_calendar_year,0,0.0,0.0,True
5,453073,453097,4669,days_since_last_game,0,0.0,0.0,True
6,445247,445243,5025,total_games_before,5,5.0,0.0,True
6,445247,445243,5025,games_last_90_days,5,5.0,0.0,True
6,445247,445243,5025,games_last_365_days,5,5.0,0.0,True
6,445247,445243,5025,games_previous_calendar_year,0,0.0,0.0,True
6,445247,445243,5025,days_since_last_game,0,0.0,0.0,True
7,446602,446618,2505,total_games_before,649,649.0,0.0,True
7,446602,446618,2505,games_last_90_days,33,33.0,0.0,True
7,446602,446618,2505,games_last_365_days,121,121.0,0.0,True
7,446602,446618,2505,games_previous_calendar_year,129,129.0,0.0,True
7,446602,446618,2505,days_since_last_game,0,0.0,0.0,True
8,454437,454561,1525,total_games_before,2806,2806.0,0.0,True
8,454437,454561,1525,games_last_90_days,35,35.0,0.0,True
8,454437,454561,1525,games_last_365_days,93,93.0,0.0,True
8,454437,454561,1525,games_previous_calendar_year,99,99.0,0.0,True
8,454437,454561,1525,days_since_last_game,0,0.0,0.0,True
9,449384,449520,4200,total_games_before,267,267.0,0.0,True
9,449384,449520,4200,games_last_90_days,31,31.0,0.0,True
9,449384,449520,4200,games_last_365_days,31,31.0,0.0,True
9,449384,449520,4200,games_previous_calendar_year,10,10.0,0.0,True
9,449384,449520,4200,days_since_last_game,22,22.0,0.0,True
10,447762,447740,3893,total_games_before,413,413.0,0.0,True
10,447762,447740,3893,games_last_90_days,0,0.0,0.0,True
10,447762,447740,3893,games_last_365_days,30,30.0,0.0,True
10,447762,447740,3893,games_previous_calendar_year,30,30.0,0.0,True
10,447762,447740,3893,days_since_last_game,240,240.0,0.0,True
11,449785,449783,4699,total_games_before,46,46.0,0.0,True
11,449785,449783,4699,games_last_90_days,5,5.0,0.0,True
11,449785,449783,4699,games_last_365_days,17,17.0,0.0,True
11,449785,449783,4699,games_previous_calendar_year,21,21.0,0.0,True
11,449785,449783,4699,days_since_last_game,0,0.0,0.0,True
12,452772,452757,685,total_games_before,2811,2811.0,0.0,True
12,452772,452757,685,games_last_90_days,23,23.0,0.0,True
12,452772,452757,685,games_last_365_days,46,46.0,0.0,True
12,452772,452757,685,games_previous_calendar_year,54,54.0,0.0,True
12,452772,452757,685,days_since_last_game,22,22.0,0.0,True
13,455958,455954,4302,total_games_before,281,281.0,0.0,True
13,455958,455954,4302,games_last_90_days,14,14.0,0.0,True
13,455958,455954,4302,games_last_365_days,45,45.0,0.0,True
13,455958,455954,4302,games_previous_calendar_year,39,39.0,0.0,True
13,455958,455954,4302,days_since_last_game,0,0.0,0.0,True
14,452981,452966,3305,total_games_before,396,396.0,0.0,True
14,452981,452966,3305,games_last_90_days,18,18.0,0.0,True
14,452981,452966,3305,games_last_365_days,19,19.0,0.0,True
14,452981,452966,3305,games_previous_calendar_year,20,20.0,0.0,True
14,452981,452966,3305,days_since_last_game,0,0.0,0.0,True
15,446062,446058,3766,total_games_before,842,842.0,0.0,True
15,446062,446058,3766,games_last_90_days,59,59.0,0.0,True
15,446062,446058,3766,games_last_365_days,102,102.0,0.0,True
15,446062,446058,3766,games_previous_calendar_year,94,94.0,0.0,True
15,446062,446058,3766,days_since_last_game,0,0.0,0.0,True
16,446328,446324,4302,total_games_before,238,238.0,0.0,True
16,446328,446324,4302,games_last_90_days,2,2.0,0.0,True
16,446328,446324,4302,games_last_365_days,41,41.0,0.0,True
16,446328,446324,4302,games_previous_calendar_year,39,39.0,0.0,True
16,446328,446324,4302,days_since_last_game,0,0.0,0.0,True
17,449310,449318,2340,total_games_before,908,908.0,0.0,True
17,449310,449318,2340,games_last_90_days,7,7.0,0.0,True
17,449310,449318,2340,games_last_365_days,7,7.0,0.0,True
17,449310,449318,2340,games_previous_calendar_year,0,0.0,0.0,True
17,449310,449318,2340,days_since_last_game,0,0.0,0.0,True
18,449781,449779,2344,total_games_before,268,268.0,0.0,True
18,449781,449779,2344,games_last_90_days,11,11.0,0.0,True
18,449781,449779,2344,games_last_365_days,24,24.0,0.0,True
18,449781,449779,2344,games_previous_calendar_year,28,28.0,0.0,True
18,449781,449779,2344,days_since_last_game,0,0.0,0.0,True
19,452607,452539,3158,total_games_before,179,179.0,0.0,True
19,452607,452539,3158,games_last_90_days,1,1.0,0.0,True
19,452607,452539,3158,games_last_365_days,7,7.0,0.0,True
19,452607,452539,3158,games_previous_calendar_year,6,6.0,0.0,True
19,452607,452539,3158,days_since_last_game,0,0.0,0.0,True
