range,range_label,model,model_display,games,corrected_calibration_error
overall,Overall,Glicko_low,Glicko low inflation,11379,0.0128370359797
overall,Overall,Validation_best_Elo,Validation-best Elo,11379,0.00695786180195
overall,Overall,Glicko_C0,Glicko C0,11379,0.00567005034988
overall,Overall,Default_Elo,Default Elo,11379,0.027365324853
overall,Overall,Conservative_Elo,Conservative Elo,11379,0.0405724583353
overall,Overall,best_AdaptiveK,Best adaptive-K Elo,11379,0.0181879039463
either_player_debut,Either player debut,Glicko_low,Glicko low inflation,74,0.306568382198
either_player_debut,Either player debut,Validation_best_Elo,Validation-best Elo,74,0.06933733833
either_player_debut,Either player debut,Glicko_C0,Glicko C0,74,0.348086537014
either_player_debut,Either player debut,Default_Elo,Default Elo,74,0.0426410557744
either_player_debut,Either player debut,Conservative_Elo,Conservative Elo,74,0.0685388921292
either_player_debut,Either player debut,best_AdaptiveK,Best adaptive-K Elo,74,0.0503520799697
min_total_games_le5,Minimum total games <= 5,Glicko_low,Glicko low inflation,465,0.131840438569
min_total_games_le5,Minimum total games <= 5,Validation_best_Elo,Validation-best Elo,465,0.0481787357953
min_total_games_le5,Minimum total games <= 5,Glicko_C0,Glicko C0,465,0.135681942931
min_total_games_le5,Minimum total games <= 5,Default_Elo,Default Elo,465,0.0501406611048
min_total_games_le5,Minimum total games <= 5,Conservative_Elo,Conservative Elo,465,0.0660631184181
min_total_games_le5,Minimum total games <= 5,best_AdaptiveK,Best adaptive-K Elo,465,0.0680974723546
min_recent_games_le5,Minimum games last 365 days <= 5,Glicko_low,Glicko low inflation,1635,0.0579765514151
min_recent_games_le5,Minimum games last 365 days <= 5,Validation_best_Elo,Validation-best Elo,1635,0.0233049675858
min_recent_games_le5,Minimum games last 365 days <= 5,Glicko_C0,Glicko C0,1635,0.0705143730992
min_recent_games_le5,Minimum games last 365 days <= 5,Default_Elo,Default Elo,1635,0.0289812602255
min_recent_games_le5,Minimum games last 365 days <= 5,Conservative_Elo,Conservative Elo,1635,0.0435984904547
min_recent_games_le5,Minimum games last 365 days <= 5,best_AdaptiveK,Best adaptive-K Elo,1635,0.0352330273058
inactive_365,Inactive >= 365 days,Glicko_low,Glicko low inflation,198,0.084588353693
inactive_365,Inactive >= 365 days,Validation_best_Elo,Validation-best Elo,198,0.0435895874814
inactive_365,Inactive >= 365 days,Glicko_C0,Glicko C0,198,0.0557594513671
inactive_365,Inactive >= 365 days,Default_Elo,Default Elo,198,0.0444472384705
inactive_365,Inactive >= 365 days,Conservative_Elo,Conservative Elo,198,0.0701208749352
inactive_365,Inactive >= 365 days,best_AdaptiveK,Best adaptive-K Elo,198,0.0286096131162
both_active_365,Both players active last 365 days,Glicko_low,Glicko low inflation,11036,0.0103462540941
both_active_365,Both players active last 365 days,Validation_best_Elo,Validation-best Elo,11036,0.00693419266768
both_active_365,Both players active last 365 days,Glicko_C0,Glicko C0,11036,0.00572130301621
both_active_365,Both players active last 365 days,Default_Elo,Default Elo,11036,0.0273875529194
both_active_365,Both players active last 365 days,Conservative_Elo,Conservative Elo,11036,0.0402707138995
both_active_365,Both players active last 365 days,best_AdaptiveK,Best adaptive-K Elo,11036,0.0186687187326
