check_name,passed,observed,expected,severity,detail
rows,True,11379,11379,error,
match_id_unique,True,0,0,error,
all_reconstructed_glicko_probabilities_in_range,True,checked,"[0,1]",error,
formula_uses_opponent_rd,True,"expected_score(rating, opponent_rating, opponent_rd)",opponent_rd,error,
elo_direct_probabilities_complementary,True,2.220446049250313e-16,<1e-12,error,
glicko_complement_gap_exists,True,0.08784894510281366,>1e-6,error,
current_p_matches_existing_orientation,True,4.999889391399392e-13,<1e-10,error,
current_p_matches_saved_winner_conversion,True,4.999889391399392e-13,<1e-10,error,
outcome_a_1_current_equals_p_a_direct,True,4.999889391399392e-13,<1e-10,error,
outcome_a_0_current_equals_one_minus_p_b_direct,True,4.999889391399392e-13,<1e-10,error,
fixed_player_a_probability_independent_of_outcome,True,p_a_direct computed from player A/B ratings and RD_B only,does not use outcome_a,error,
bootstrap_repetitions,True,2000,2000,error,
no_old_outputs_modified_by_script,True,script writes 32_* outputs only,no overwrite,error,
all_outputs_generated,True,checked,all output paths exist,error,
