sample,model,model_display,games,events,overall_event_rate,reliability,resolution,uncertainty,reconstructed_brier,actual_brier,reconstruction_difference,bin_width,outcome_definition
Overall,Glicko_low_fixed,Glicko low inflation,11379,629,0.535460058002,0.00028302235097,0.061143824873,0.248742584287,0.187881781764,0.187603868924,0.000277912840134,0.05,common outcome_a
Overall,Validation_best_Elo,Validation-best Elo,11379,629,0.535460058002,0.000439190446187,0.0586954908158,0.248742584287,0.190486283917,0.19007264006,0.000413643856792,0.05,common outcome_a
Overall,best_AdaptiveK,Best adaptive-K Elo,11379,629,0.535460058002,0.000618365373548,0.0584313871957,0.248742584287,0.190929562464,0.190781422536,0.000148139928181,0.05,common outcome_a
Overall,Glicko_C0_fixed,Glicko C0,11379,629,0.535460058002,0.00115574882049,0.0540302128051,0.248742584287,0.195868120302,0.195707693341,0.000160426961331,0.05,common outcome_a
Overall,Default_Elo,Default Elo,11379,629,0.535460058002,0.000916478673821,0.0553466050933,0.248742584287,0.194312457867,0.194155553153,0.000156904713645,0.05,common outcome_a
No debut,Glicko_low_fixed,Glicko low inflation,11305,629,0.534896063689,0.000242943321637,0.0620398187788,0.248782264739,0.186985389282,0.186709283032,0.000276106249556,0.05,common outcome_a
No debut,Validation_best_Elo,Validation-best Elo,11305,629,0.534896063689,0.000440716718855,0.0588652597906,0.248782264739,0.190357721667,0.189945768873,0.000411952793956,0.05,common outcome_a
No debut,best_AdaptiveK,Best adaptive-K Elo,11305,629,0.534896063689,0.000635580334649,0.0587169222856,0.248782264739,0.190700922788,0.190559623146,0.000141299641869,0.05,common outcome_a
No debut,Glicko_C0_fixed,Glicko C0,11305,629,0.534896063689,0.00125410759512,0.0551731275766,0.248782264739,0.194863244758,0.194689552838,0.000173691920024,0.05,common outcome_a
No debut,Default_Elo,Default Elo,11305,629,0.534896063689,0.000918208869289,0.055559815516,0.248782264739,0.194140658092,0.193983809914,0.000156848178817,0.05,common outcome_a
Exactly one debut,Glicko_low_fixed,Glicko low inflation,72,58,0.625,0.176614799716,0.0850694444444,0.234375,0.325920355271,0.326333052904,-0.000412697633034,0.05,common outcome_a
Exactly one debut,Validation_best_Elo,Validation-best Elo,72,58,0.625,0.0474423292884,0.0720819304153,0.234375,0.209735398873,0.208328529584,0.00140686928954,0.05,common outcome_a
Exactly one debut,best_AdaptiveK,Best adaptive-K Elo,72,58,0.625,0.0556949747001,0.0628898493482,0.234375,0.227180125352,0.223962046817,0.00321807853471,0.05,common outcome_a
Exactly one debut,Glicko_C0_fixed,Glicko C0,72,58,0.625,0.171332206062,0.0518605845908,0.234375,0.353846621471,0.35406177352,-0.000215152048126,0.05,common outcome_a
Exactly one debut,Default_Elo,Default Elo,72,58,0.625,0.0533345277735,0.0679807156781,0.234375,0.219728812095,0.21957039251,0.000158419585012,0.05,common outcome_a
Both active and no debut,Glicko_low_fixed,Glicko low inflation,11036,626,0.536426241392,0.000223692316598,0.0620936542368,0.248673128938,0.186803167018,0.186479537232,0.000323629785384,0.05,common outcome_a
Both active and no debut,Validation_best_Elo,Validation-best Elo,11036,626,0.536426241392,0.000424363568391,0.0589157400278,0.248673128938,0.190181752479,0.189768721077,0.000413031401826,0.05,common outcome_a
Both active and no debut,best_AdaptiveK,Best adaptive-K Elo,11036,626,0.536426241392,0.000670722281397,0.0587844850828,0.248673128938,0.190559366137,0.1903975192,0.000161846936254,0.05,common outcome_a
Both active and no debut,Glicko_C0_fixed,Glicko C0,11036,626,0.536426241392,0.00114787378923,0.0555714271683,0.248673128938,0.194249575559,0.19404393446,0.000205641098935,0.05,common outcome_a
Both active and no debut,Default_Elo,Default Elo,11036,626,0.536426241392,0.000918263955353,0.0556608210362,0.248673128938,0.193930571857,0.193793619307,0.000136952550016,0.05,common outcome_a
