group_type,group,group_order,threshold,appearance_number,appearance_stage,comparison,comparison_label,left_model,right_model,metric,metric_definition,appearances,players,matches,positive_delta_means,point_estimate,ci_lower,ci_upper,bootstrap_type,bootstrap_replications,cluster_variable,clusters,small_sample_warning
cumulative_threshold,first_1,1,1,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,76,76,74,Glicko low inflation better,-0.111793758935,-0.15635332607,-0.0659631825643,player_cluster,2000,player_id,76,False
cumulative_threshold,first_1,1,1,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,76,76,74,Glicko low inflation better,-0.292283892348,-0.422794320644,-0.16727998409,player_cluster,2000,player_id,76,False
cumulative_threshold,first_1,1,1,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,76,76,74,Glicko low inflation better,-0.131578947368,-0.223684210526,-0.0394736842105,player_cluster,2000,player_id,76,False
cumulative_threshold,first_1,1,1,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_brier,left_model_brier - right_model_brier,76,76,74,Adaptive-K Elo better,-0.014810700537,-0.023864841231,-0.00706887281573,player_cluster,2000,player_id,76,False
cumulative_threshold,first_1,1,1,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_log_loss,left_model_log_loss - right_model_log_loss,76,76,74,Adaptive-K Elo better,-0.0338940552233,-0.0514701462297,-0.0168405726237,player_cluster,2000,player_id,76,False
cumulative_threshold,first_1,1,1,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_accuracy,right_model_accuracy - left_model_accuracy,76,76,74,Adaptive-K Elo better,-0.0394736842105,-0.0921052631579,0,player_cluster,2000,player_id,76,False
cumulative_threshold,first_1,1,1,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,76,76,74,Glicko low inflation better,0.0262693142669,0.0100441916142,0.043325247578,player_cluster,2000,player_id,76,False
cumulative_threshold,first_1,1,1,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,76,76,74,Glicko low inflation better,0.066970417898,0.0228456392671,0.111493151129,player_cluster,2000,player_id,76,False
cumulative_threshold,first_1,1,1,,,Glicko_C0_fixed_minus_Glicko_low_fixed,Glicko C0 - Glicko low inflation,Glicko_C0_fixed,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,76,76,74,Glicko low inflation better,0.0526315789474,0.0131578947368,0.105263157895,player_cluster,2000,player_id,76,False
cumulative_threshold,first_5,5,5,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_brier,left_model_brier - right_model_brier,406,108,387,Glicko low inflation better,-0.0200009879131,-0.0363746091393,-0.0023958141905,player_cluster,2000,player_id,108,False
cumulative_threshold,first_5,5,5,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_log_loss,left_model_log_loss - right_model_log_loss,406,108,387,Glicko low inflation better,-0.0624953086525,-0.108211017371,-0.0148076501251,player_cluster,2000,player_id,108,False
cumulative_threshold,first_5,5,5,,,Validation_best_Elo_minus_Glicko_low_fixed,Validation-best Elo - Glicko low inflation,Validation_best_Elo,Glicko_low_fixed,delta_accuracy,right_model_accuracy - left_model_accuracy,406,108,387,Glicko low inflation better,0.012315270936,-0.0348324168631,0.0613222627033,player_cluster,2000,player_id,108,False
cumulative_threshold,first_5,5,5,,,Validation_best_Elo_minus_best_AdaptiveK,Validation-best Elo - Adaptive-K Elo,Validation_best_Elo,best_AdaptiveK,delta_brier,left_model_brier - right_model_brier,406,108,387,Adaptive-K Elo better,-0.00683609262026,-0.0110516559168,-0.00243043264147,player_cluster,2000,player_id,108,False
