group,threshold,metric,metric_definition,number_of_unique_matches,number_of_unique_events,event_identifier_column,bootstrap_unit,bootstrap_repetitions,random_seed,clusters,point_estimate,ci_lower,ci_upper,ci_excludes_zero
first_1,1,delta_brier,Elo Brier - Glicko Brier,74,60,event_key,event_cluster,2000,20270716,60,-0.11481521188,-0.158208864773,-0.0691230515529,True
first_1,1,delta_log_loss,Elo log loss - Glicko log loss,74,60,event_key,event_cluster,2000,20270716,60,-0.300183457006,-0.422358532239,-0.179979238414,True
first_1,1,delta_accuracy,Glicko accuracy - Elo accuracy,74,60,event_key,event_cluster,2000,20270716,60,-0.135135135135,-0.231711735596,-0.0389485514486,True
first_5,5,delta_brier,Elo Brier - Glicko Brier,387,98,event_key,event_cluster,2000,20270717,98,-0.0197558654357,-0.0405064694335,0.00099029550546,False
first_5,5,delta_log_loss,Elo log loss - Glicko log loss,387,98,event_key,event_cluster,2000,20270717,98,-0.0590329403358,-0.112109494783,-0.00541317997615,True
first_5,5,delta_accuracy,Glicko accuracy - Elo accuracy,387,98,event_key,event_cluster,2000,20270717,98,0.00516795865633,-0.0493514510181,0.0567590264683,False
first_10,10,delta_brier,Elo Brier - Glicko Brier,785,165,event_key,event_cluster,2000,20270718,165,-0.00772118921606,-0.020850325151,0.00671410121717,False
first_10,10,delta_log_loss,Elo log loss - Glicko log loss,785,165,event_key,event_cluster,2000,20270718,165,-0.0281940246486,-0.0622866147613,0.00835466891246,False
first_10,10,delta_accuracy,Glicko accuracy - Elo accuracy,785,165,event_key,event_cluster,2000,20270718,165,0.0242038216561,-0.00868863762736,0.0588269977802,False
first_20,20,delta_brier,Elo Brier - Glicko Brier,1463,260,event_key,event_cluster,2000,20270719,260,-0.00124889854642,-0.0102008302561,0.00760647794489,False
first_20,20,delta_log_loss,Elo log loss - Glicko log loss,1463,260,event_key,event_cluster,2000,20270719,260,-0.00889832557972,-0.0313706751125,0.0132366684807,False
first_20,20,delta_accuracy,Glicko accuracy - Elo accuracy,1463,260,event_key,event_cluster,2000,20270719,260,0.0205058099795,-0.00224502773855,0.0421489153105,False
first_30,30,delta_brier,Elo Brier - Glicko Brier,1987,310,event_key,event_cluster,2000,20270720,310,-1.76617430039e-05,-0.006641662897,0.00677128075465,False
first_30,30,delta_log_loss,Elo log loss - Glicko log loss,1987,310,event_key,event_cluster,2000,20270720,310,-0.00510073187142,-0.0220341385167,0.0120008289548,False
first_30,30,delta_accuracy,Glicko accuracy - Elo accuracy,1987,310,event_key,event_cluster,2000,20270720,310,0.0176144942124,-0.00107086593256,0.0358239907275,False
first_50,50,delta_brier,Elo Brier - Glicko Brier,2749,374,event_key,event_cluster,2000,20270721,374,0.00194640098026,-0.0031521920019,0.00697607407396,False
first_50,50,delta_log_loss,Elo log loss - Glicko log loss,2749,374,event_key,event_cluster,2000,20270721,374,0.0011720334448,-0.0118050273562,0.0140411053994,False
first_50,50,delta_accuracy,Glicko accuracy - Elo accuracy,2749,374,event_key,event_cluster,2000,20270721,374,0.0130956711531,-0.00211113320625,0.0275870664771,False
