group_type,group,group_order,threshold,appearance_number,appearance_stage,model,model_display,model_family,appearances,players,matches,min_appearance_number,max_appearance_number,brier,log_loss,accuracy,mean_predicted_probability,empirical_win_rate,probability_orientation,accuracy_tie_rule
appearance_stage,1,1,,,1,Validation_best_Elo,Validation-best Elo,Elo,76,76,74,1,1,0.210521764869,0.603290493694,0.644736842105,0.538536322451,0.407894736842,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,1,1,,,1,Glicko_low_fixed,Glicko low inflation,Glicko,76,76,74,1,1,0.322315523804,0.895574386042,0.513157894737,0.743448336412,0.407894736842,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,1,1,,,1,Glicko_C0_fixed,Glicko C0,Glicko,76,76,74,1,1,0.348584838071,0.96254480394,0.460526315789,0.768340970702,0.407894736842,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,1,1,,,1,best_AdaptiveK,Adaptive-K Elo,Elo,76,76,74,1,1,0.225332465406,0.637184548917,0.605263157895,0.570253722717,0.407894736842,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,2-5,2,,,2-5,Validation_best_Elo,Validation-best Elo,Elo,330,106,316,2,5,0.239170833336,0.679867657117,0.60303030303,0.531724063808,0.451515151515,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,2-5,2,,,2-5,Glicko_low_fixed,Glicko low inflation,Glicko,330,106,316,2,5,0.238031667923,0.689441958615,0.648484848485,0.550194569821,0.451515151515,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,2-5,2,,,2-5,Glicko_C0_fixed,Glicko C0,Glicko,330,106,316,2,5,0.236536955203,0.687066939576,0.633333333333,0.549485351346,0.451515151515,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,2-5,2,,,2-5,best_AdaptiveK,Adaptive-K Elo,Elo,330,106,316,2,5,0.244170349587,0.687645911987,0.60303030303,0.556900026104,0.451515151515,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,6-10,3,,,6-10,Validation_best_Elo,Validation-best Elo,Elo,449,121,433,6,10,0.209562718039,0.600638318349,0.650334075724,0.46200262167,0.418708240535,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,6-10,3,,,6-10,Glicko_low_fixed,Glicko low inflation,Glicko,449,121,433,6,10,0.21130584696,0.615520153613,0.688195991091,0.440565715725,0.418708240535,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,6-10,3,,,6-10,Glicko_C0_fixed,Glicko C0,Glicko,449,121,433,6,10,0.215048089041,0.627465734995,0.692650334076,0.45096611835,0.418708240535,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,6-10,3,,,6-10,best_AdaptiveK,Adaptive-K Elo,Elo,449,121,433,6,10,0.216632596838,0.617936700762,0.648106904232,0.491678101638,0.418708240535,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,11-20,4,,,11-20,Validation_best_Elo,Validation-best Elo,Elo,840,171,794,11,20,0.204085323858,0.586331837145,0.669047619048,0.455275336884,0.433333333333,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,11-20,4,,,11-20,Glicko_low_fixed,Glicko low inflation,Glicko,840,171,794,11,20,0.201319738335,0.583356745515,0.684523809524,0.443528549821,0.433333333333,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,11-20,4,,,11-20,Glicko_C0_fixed,Glicko C0,Glicko,840,171,794,11,20,0.206158459639,0.594965354271,0.671428571429,0.443403519333,0.433333333333,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,11-20,4,,,11-20,best_AdaptiveK,Adaptive-K Elo,Elo,840,171,794,11,20,0.207637208624,0.597317154693,0.671428571429,0.478934434283,0.433333333333,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,21-50,5,,,21-50,Validation_best_Elo,Validation-best Elo,Elo,1807,199,1633,21,50,0.204479763794,0.58892445955,0.671278361926,0.432640063864,0.439402324294,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,21-50,5,,,21-50,Glicko_low_fixed,Glicko low inflation,Glicko,1807,199,1633,21,50,0.20212406699,0.58588375162,0.676812396237,0.436715228329,0.439402324294,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,21-50,5,,,21-50,Glicko_C0_fixed,Glicko C0,Glicko,1807,199,1633,21,50,0.207824304299,0.60043593179,0.671278361926,0.446195865608,0.439402324294,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,21-50,5,,,21-50,best_AdaptiveK,Adaptive-K Elo,Elo,1807,199,1633,21,50,0.206644024348,0.595001664179,0.666851134477,0.451301294365,0.439402324294,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,51+,6,,,51+,Validation_best_Elo,Validation-best Elo,Elo,19256,786,10626,51,4853,0.186732802645,0.548868318756,0.71234939759,0.508462362013,0.511684669713,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,51+,6,,,51+,Glicko_low_fixed,Glicko low inflation,Glicko,19256,786,10626,51,4853,0.183694397809,0.541998366928,0.718321562111,0.507966935635,0.511684669713,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,51+,6,,,51+,Glicko_C0_fixed,Glicko C0,Glicko,19256,786,10626,51,4853,0.192360709711,0.56347290354,0.698795180723,0.506754115483,0.511684669713,focal player win probability,p_focal >= 0.5 predicts focal player win
appearance_stage,51+,6,,,51+,best_AdaptiveK,Adaptive-K Elo,Elo,19256,786,10626,51,4853,0.186903463239,0.550280967677,0.71494599086,0.504430508782,0.511684669713,focal player win probability,p_focal >= 0.5 predicts focal player win
