appearance_number,number_of_appearances,number_of_unique_players,number_of_unique_matches,brier_Validation_best_Elo,brier_Glicko_low_fixed,delta_brier,log_loss_Validation_best_Elo,log_loss_Glicko_low_fixed,delta_log_loss,mae_Validation_best_Elo,mae_Glicko_low_fixed,delta_absolute_error,mean_predicted_probability_Validation_best_Elo,mean_predicted_probability_Glicko_low_fixed,empirical_win_rate,prediction_bias_Validation_best_Elo,prediction_bias_Glicko_low_fixed
1,76,76,74,0.210521764869,0.322315523804,-0.111793758935,0.603290493694,0.895574386042,-0.292283892348,0.428913428124,0.484279779438,-0.0553663513144,0.538536322451,0.743448336412,0.407894736842,0.130641585609,0.33555359957
2,76,76,75,0.259752063,0.272651165953,-0.0128991029526,0.735923900548,0.793631086743,-0.0577071861952,0.469429768015,0.440252972899,0.0291767951162,0.540311602374,0.637093436299,0.407894736842,0.132416865532,0.229198699457
3,83,83,81,0.226501047361,0.225966639463,0.00053440789834,0.636690808713,0.655885864625,-0.0191950559118,0.441432926501,0.406987793861,0.0344451326405,0.520082472184,0.548373448387,0.433734939759,0.0863475324247,0.114638508628
4,86,86,85,0.230998672395,0.238217911205,-0.00721923880958,0.664074654453,0.686428034565,-0.0223533801121,0.449627967856,0.416513544359,0.0331144234976,0.542671568901,0.523163467377,0.523255813953,0.0194157549474,-9.23465761977e-05
5,85,85,82,0.241408770069,0.218670474859,0.02273829521,0.687886505891,0.632100541342,0.0557859645489,0.455926208825,0.401160500713,0.0547657081119,0.524337166581,0.501624146726,0.435294117647,0.089043048934,0.0663300290789
6,85,85,84,0.233888153645,0.217727480456,0.0161606731888,0.656184820649,0.638540180896,0.0176446397525,0.44850118361,0.399016891956,0.0494842916538,0.458401984603,0.448740038152,0.482352941176,-0.0239509565735,-0.0336129030243
7,89,89,87,0.210913869574,0.206681587601,0.00423228197229,0.604979619307,0.599181847468,0.00579777183911,0.422702332647,0.385166812868,0.0375355197797,0.503470223813,0.483798516748,0.415730337079,0.0877398867341,0.0680681796694
8,89,89,89,0.20551795508,0.236972480458,-0.0314545253781,0.591321978656,0.679624454528,-0.0883024758724,0.411991564266,0.41395800131,-0.00196643704395,0.456474087036,0.43302850098,0.404494382022,0.0519797050131,0.028534118958
9,90,90,90,0.197700716032,0.190833741448,0.00686697458384,0.57418727071,0.567704634657,0.00648263605269,0.41330845613,0.367623451943,0.0456850041864,0.452754685622,0.427141597513,0.388888888889,0.0638657967336,0.0382527086237
10,96,96,96,0.201642401071,0.205304590195,-0.00366218912396,0.580866652092,0.595681829161,-0.0148151770681,0.411089936519,0.385617881096,0.0254720554231,0.440542115279,0.412820362119,0.40625,0.0342921152795,0.00657036211905
11,92,92,92,0.197757641597,0.190302160801,0.00745548079565,0.57320899711,0.555330219616,0.0178787774942,0.40606180776,0.368963279679,0.0370985280809,0.445960912771,0.419471249803,0.467391304348,-0.0214303915764,-0.0479200545445
12,92,92,91,0.188147788549,0.188305991903,-0.000158203354239,0.550821096726,0.546456948679,0.00436414804641,0.393272181368,0.363897019397,0.0293751619712,0.468598835239,0.452722084275,0.413043478261,0.0555553569782,0.039678606014
13,86,86,85,0.227338586603,0.227883517541,-0.000544930938328,0.638864158025,0.650195371148,-0.0113312131232,0.440189149596,0.405348088486,0.03484106111,0.489806883195,0.464053289699,0.418604651163,0.0712022320325,0.0454486385367
14,86,86,85,0.224792817067,0.200719025279,0.0240737917874,0.630657746493,0.581178485127,0.0494792613661,0.434056981865,0.376984537924,0.0570724439409,0.442089817424,0.43450452718,0.5,-0.0579101825759,-0.0654954728201
15,91,91,91,0.214795553705,0.225217541284,-0.0104219875793,0.608910624406,0.646649376709,-0.0377387523031,0.425014532737,0.40277408994,0.0222404427964,0.474190569623,0.468058956687,0.428571428571,0.045619141052,0.0394875281154
16,84,84,81,0.187742534679,0.166730336787,0.0210121978925,0.548433196316,0.497068063142,0.0513651331746,0.395803216645,0.344143205553,0.0516600110911,0.452611261815,0.450974299445,0.392857142857,0.0597541189574,0.0581171565876
17,79,79,79,0.191029072687,0.198006200041,-0.00697712735433,0.555513716352,0.582254320491,-0.0267406041386,0.394840985724,0.377047361624,0.0177936240995,0.452894150704,0.439803911442,0.443037974684,0.00985617602076,-0.00323406324189
18,73,73,73,0.213586933506,0.21285833342,0.000728600086305,0.60978976571,0.603257929152,0.00653183655772,0.408413180001,0.380523819061,0.0278893609404,0.433611802105,0.433030439978,0.41095890411,0.0226528979953,0.0220715358682
19,77,77,77,0.193697793607,0.209086861224,-0.015389067617,0.564882875419,0.594670162854,-0.0297872874352,0.402236371121,0.387404452076,0.0148319190447,0.435874463699,0.425597897508,0.506493506494,-0.070619042794,-0.0808956089857
20,80,80,80,0.201630380691,0.19544788082,0.00618249987163,0.581920219659,0.579159522982,0.00276069667681,0.405805281162,0.369072495001,0.0367327861613,0.4497918615,0.443053092758,0.35,0.0997918614996,0.0930530927579
