group,threshold,opponent_strength_quartile,opponent_strength_field,opponent_strength_source,number_of_appearances,empirical_focal_win_rate,validation_best_elo_brier,glicko_low_fixed_brier,delta_brier,validation_best_elo_log_loss,glicko_low_fixed_log_loss,delta_log_loss,mean_predicted_probability_validation_best_elo,mean_predicted_probability_glicko_low_fixed,prediction_bias_validation_best_elo,prediction_bias_glicko_low_fixed,mean_opponent_strength
first_1,1,bottom_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,23,0.739130434783,0.18390901173,0.225775064159,-0.0418660524288,0.551526241774,0.731043935962,-0.179517694188,0.678581069566,0.893785587183,-0.0605493652163,0.1546551524,932.395928917
first_1,1,second_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,21,0.380952380952,0.303103355544,0.431834737378,-0.128731381834,0.804292111413,1.1494182398,-0.345126128391,0.619586045186,0.819050675101,0.238633664234,0.438098294149,1111.71397171
first_1,1,third_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,14,0.142857142857,0.220346529263,0.458146615917,-0.237800086653,0.632958063372,1.14693907558,-0.51398101221,0.47859652959,0.724840512778,0.335739386733,0.581983369921,1247.56918242
first_1,1,top_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,18,0.222222222222,0.128873610228,0.212253956983,-0.0833803467546,0.411857040725,0.614150706555,-0.20229366583,0.311652085727,0.477620761448,0.0894298635051,0.255398539226,1526.68404425
first_5,5,bottom_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,128,0.5703125,0.256888232325,0.254019885594,0.00286834673092,0.715107988782,0.748116340937,-0.033008352155,0.68368624616,0.728717898698,0.11337374616,0.158405398698,899.77879535
first_5,5,second_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,120,0.533333333333,0.257870635194,0.266413266153,-0.00854263095871,0.710573247816,0.755040370841,-0.0444671230258,0.595057286494,0.641013880031,0.0617239531604,0.107680546697,1108.65342052
first_5,5,third_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,82,0.292682926829,0.225356112784,0.287770357869,-0.0624142450849,0.641987616162,0.779802502306,-0.137814886144,0.458418233878,0.526515065648,0.165735307049,0.233832138819,1263.91803575
first_5,5,top_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,76,0.25,0.166061288444,0.196909520842,-0.030848232398,0.536326415026,0.595683662529,-0.0593572475027,0.26169332233,0.32492749458,0.0116933223299,0.0749274945802,1575.13402732
first_10,10,bottom_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,227,0.57268722467,0.246399645345,0.230218273917,0.0161813714273,0.690659296561,0.679396757813,0.0112625387479,0.666222695133,0.685426598331,0.0935354704633,0.112739373661,905.710187551
first_10,10,second_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,230,0.508695652174,0.245913676067,0.250540884064,-0.00462720799645,0.685537367295,0.710989911777,-0.0254525444826,0.571883184779,0.566646045852,0.0631875326056,0.057950393678,1113.00838632
first_10,10,third_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,205,0.375609756098,0.230009105851,0.266649651381,-0.0366405455308,0.651951779977,0.736305272773,-0.0843534927956,0.457196066971,0.478622151487,0.0815863108736,0.103012395389,1262.15816809
first_10,10,top_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,193,0.227979274611,0.152201854106,0.172930701873,-0.0207288477675,0.475593987645,0.534998569968,-0.0594045823234,0.245316065642,0.268613049465,0.0173367910305,0.0406337748539,1585.15194973
first_20,20,bottom_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,424,0.577830188679,0.239155861205,0.224809435842,0.0143464253631,0.672389283715,0.654345861742,0.0180434219735,0.640730639712,0.657037737788,0.0629004510329,0.079207549109,913.952032305
first_20,20,second_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,424,0.497641509434,0.238864815801,0.236653813542,0.00221100225865,0.670105523023,0.675369837326,-0.00526431430317,0.55898082144,0.537094787424,0.0613393120056,0.03945327799,1114.45419984
first_20,20,third_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,423,0.420803782506,0.22713758569,0.244982702166,-0.0178451164756,0.645325330601,0.688843593197,-0.0435182625957,0.460628689724,0.467588707691,0.0398249072179,0.0467849251854,1267.6493446
first_20,20,top_quartile,rating_opponent_Glicko_low,Glicko low pre-match opponent rating; Validation-best Elo opponent rating not available in Step 34/Step 33 outputs,424,0.231132075472,0.145498574937,0.159771780553,-0.0142732056159,0.448635234924,0.487706175848,-0.0390709409242,0.242322090551,0.246089754186,0.0111900150789,0.0149576787145,1567.74010588
