group,target,number_of_appearances,number_of_unique_players,correlation_with_focal_rd,correlation_status
first_1,absolute_probability_distance_from_0_5,76,76,0,undefined_constant_input
first_1,brier_loss,76,76,0,undefined_constant_input
first_1,log_loss,76,76,0,undefined_constant_input
first_1,prediction_bias,76,76,0,undefined_constant_input
first_5,absolute_probability_distance_from_0_5,406,108,0.208402610981,ok
first_5,brier_loss,406,108,0.114633406616,ok
first_5,log_loss,406,108,0.114531821204,ok
first_5,prediction_bias,406,108,0.230855897668,ok
first_10,absolute_probability_distance_from_0_5,855,166,0.151034503454,ok
first_10,brier_loss,855,166,0.120756972561,ok
first_10,log_loss,855,166,0.123614665225,ok
first_10,prediction_bias,855,166,0.192545875943,ok
first_20,absolute_probability_distance_from_0_5,1695,255,0.0967548411637,ok
first_20,brier_loss,1695,255,0.104032546552,ok
first_20,log_loss,1695,255,0.112864285802,ok
first_20,prediction_bias,1695,255,0.139716430433,ok
all_appearances,absolute_probability_distance_from_0_5,22758,1122,0.0891754733625,ok
all_appearances,brier_loss,22758,1122,0.032442823549,ok
all_appearances,log_loss,22758,1122,0.0351809668334,ok
all_appearances,prediction_bias,22758,1122,0.0441289801917,ok
