diagnostic_item,value,details
number_of_first_1_appearances,76.0,Common first_1 sample.
mean_low_fixed_probability,0.7434483364116711,Glicko low fixed focal probability.
mean_C0_fixed_probability,0.7683409707020527,Glicko C0 fixed focal probability.
mean_C0_minus_low_probability,0.024892634290381577,Positive means C0 predicts higher focal win probability.
mean_absolute_probability_difference,0.049318767988092094,Average absolute C0-low probability gap.
low_fixed_Brier,0.3223155238041685,Glicko low fixed Brier.
C0_fixed_Brier,0.3485848380711114,Glicko C0 fixed Brier.
C0_minus_low_Brier,0.0262693142669429,Positive means low fixed has lower Brier.
low_fixed_log_loss,0.8955743860416253,Glicko low fixed log loss.
C0_fixed_log_loss,0.9625448039396275,Glicko C0 fixed log loss.
C0_minus_low_log_loss,0.06697041789800218,Positive means low fixed has lower log loss.
low_fixed_prediction_bias,0.3355535995695658,Positive means over-prediction.
C0_fixed_prediction_bias,0.36044623385994734,Positive means over-prediction.
C0_minus_low_prediction_bias,0.02489263429038152,Positive means C0 is more over-predicted.
mean_focal_rating_abs_diff,0.0,State comparison at first appearance.
max_focal_rating_abs_diff,0.0,State comparison at first appearance.
share_zero_focal_rating_abs_diff,1.0,Share of rows with identical low and C0 state value.
mean_opponent_rating_abs_diff,73.90148092448683,State comparison at first appearance.
max_opponent_rating_abs_diff,268.6650814299999,State comparison at first appearance.
share_zero_opponent_rating_abs_diff,0.05263157894736842,Share of rows with identical low and C0 state value.
mean_focal_RD_abs_diff,0.0,State comparison at first appearance.
max_focal_RD_abs_diff,0.0,State comparison at first appearance.
share_zero_focal_RD_abs_diff,1.0,Share of rows with identical low and C0 state value.
mean_opponent_RD_abs_diff,39.728409752555265,State comparison at first appearance.
max_opponent_RD_abs_diff,169.82666521500002,State comparison at first appearance.
share_zero_opponent_RD_abs_diff,0.05263157894736842,Share of rows with identical low and C0 state value.
