metric,value,details
first_1_mean_Glicko_probability,0.7434483364116711,Mean first_1 focal Glicko low fixed probability.
first_1_empirical_win_rate,0.40789473684210525,Mean first_1 focal outcome.
first_1_Glicko_prediction_bias,0.3355535995695658,Positive means Glicko over-predicts focal debut players.
first_1_Elo_prediction_bias,0.13064158560902633,Validation-best Elo focal prediction bias.
mean_debut_focal_Glicko_rating,1500.0,First_1 focal pre-match Glicko rating.
mean_debut_opponent_Glicko_rating,1180.7550147543684,First_1 opponent pre-match Glicko rating.
mean_focal_minus_opponent_rating_difference,319.2449852456316,Focal rating minus opponent rating.
median_focal_minus_opponent_rating_difference,371.029210715,Focal rating minus opponent rating.
mean_focal_RD,350.0,First_1 focal pre-match Glicko RD.
mean_opponent_RD,139.24621051431578,First_1 opponent pre-match Glicko RD.
share_of_focal_ratings_equal_to_initial_rating,1.0,Initial rating = 1500.0.
share_of_Glicko_probabilities_above_0_75,0.6052631578947368,Share of first_1 probabilities above 0.75.
trimmed_mean_Glicko_probability_5_percent,0.7573567769058824,Five-percent trimmed mean.
both_debut_match_count,2,Unique matches where both players are first appearances.
exactly_one_debut_match_count,72,Unique matches with exactly one first_1 focal appearance.
maximum_probability_orientation_error,4.99933427988708e-13,Maximum absolute focal orientation audit error.
maximum_probability_reconstruction_error,4.4982351177225155e-12,Maximum absolute formula reconstruction error.
equal_rating_counterfactual_mean_probability,0.5,Formula-only counterfactual with focal rating equal to opponent rating.
implemented_RD_B_30_counterfactual_mean_probability,0.7985344588280757,Formula-only counterfactual setting RD_B to 30.
implemented_RD_B_350_counterfactual_mean_probability,0.7423489122546577,Formula-only counterfactual setting RD_B to 350.
main_diagnostic_conclusion_code,INITIAL_RATING_LEVEL_DOMINANT,"Supported by orientation, reconstruction, state, extreme-case, and counterfactual diagnostics."
initial_rating_sensitivity_experiment_recommended_next,True,"Recommended only as a later sensitivity experiment, not performed in Step 36."
