candidate_initial_rating,group_type,group,group_order,number_of_appearances,number_of_unique_players,number_of_unique_matches,mean_predicted_probability,empirical_win_rate,prediction_bias,brier,log_loss,accuracy
1000,cumulative_threshold,first_1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.895574386041908,0.5131578947368421
1000,cumulative_threshold,first_5,5,406,108,387,0.5863701517446317,0.4433497536945813,0.14302039805005046,0.25380894143732224,0.7280283243403783,0.6231527093596059
1000,cumulative_threshold,first_10,10,855,166,785,0.509801506396086,0.4304093567251462,0.07939214967093985,0.23148860293404866,0.6689450861457152,0.6573099415204678
1000,cumulative_threshold,first_20,20,1695,255,1463,0.4769582712792407,0.431858407079646,0.04509986419959465,0.21653766118560314,0.6265296253020216,0.6707964601769911
1000,cumulative_threshold,first_30,30,2399,302,1987,0.46263696539825877,0.4314297624010004,0.031207202997258376,0.2104408786131108,0.6098531134878452,0.6761150479366402
1000,cumulative_threshold,first_50,50,3502,381,2749,0.4561932288434145,0.4357509994288978,0.020442229414516757,0.20910037828695535,0.6055567258892308,0.67390062821245
1100,cumulative_threshold,first_1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.895574386041908,0.5131578947368421
1100,cumulative_threshold,first_5,5,406,108,387,0.5863701517446317,0.4433497536945813,0.14302039805005046,0.2538089414373222,0.7280283243403783,0.6231527093596059
1100,cumulative_threshold,first_10,10,855,166,785,0.509801506396086,0.4304093567251462,0.07939214967093985,0.23148860293404866,0.6689450861457152,0.6573099415204678
1100,cumulative_threshold,first_20,20,1695,255,1463,0.4769582712792407,0.431858407079646,0.04509986419959464,0.21653766118560314,0.6265296253020216,0.6707964601769911
1100,cumulative_threshold,first_30,30,2399,302,1987,0.4626369653982589,0.4314297624010004,0.031207202997258373,0.2104408786131108,0.6098531134878452,0.6761150479366402
1100,cumulative_threshold,first_50,50,3502,381,2749,0.4561932288434145,0.4357509994288978,0.02044222941451675,0.20910037828695535,0.6055567258892307,0.67390062821245
1200,cumulative_threshold,first_1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.895574386041908,0.5131578947368421
1200,cumulative_threshold,first_5,5,406,108,387,0.5863701517446317,0.4433497536945813,0.14302039805005046,0.25380894143732224,0.7280283243403783,0.6231527093596059
1200,cumulative_threshold,first_10,10,855,166,785,0.509801506396086,0.4304093567251462,0.07939214967093987,0.23148860293404863,0.668945086145715,0.6573099415204678
1200,cumulative_threshold,first_20,20,1695,255,1463,0.4769582712792407,0.431858407079646,0.045099864199594636,0.21653766118560314,0.6265296253020216,0.6707964601769911
1200,cumulative_threshold,first_30,30,2399,302,1987,0.46263696539825877,0.4314297624010004,0.031207202997258376,0.2104408786131108,0.6098531134878452,0.6761150479366402
1200,cumulative_threshold,first_50,50,3502,381,2749,0.45619322884341446,0.4357509994288978,0.02044222941451675,0.20910037828695538,0.6055567258892308,0.67390062821245
