candidate_initial_rating,analysis_group,group_type,paired_rows,delta_brier_1500_minus_candidate,delta_logloss_1500_minus_candidate,positive_delta_means
1000,overall_2025,overall_match_level,11379,1.9711009014488106e-19,2.376688548244874e-18,alternative candidate is better than 1500
1100,overall_2025,overall_match_level,11379,1.6657051412082186e-18,3.083216006669561e-18,alternative candidate is better than 1500
1200,overall_2025,overall_match_level,11379,-9.307629245263668e-19,-3.1163737846838816e-18,alternative candidate is better than 1500
1300,overall_2025,overall_match_level,11379,-4.711539817495566e-19,-3.269433136989068e-18,alternative candidate is better than 1500
1400,overall_2025,overall_match_level,11379,1.6413174183156298e-18,5.077675410425214e-18,alternative candidate is better than 1500
1000,first_1,appearance_cumulative_threshold,76,2.2357390062095824e-17,9.641410477007939e-17,alternative candidate is better than 1500
1000,first_5,appearance_cumulative_threshold,406,3.074070331510124e-17,1.0319895594893552e-16,alternative candidate is better than 1500
1000,first_10,appearance_cumulative_threshold,855,8.390377487776675e-18,3.7009463070518056e-17,alternative candidate is better than 1500
1000,first_20,appearance_cumulative_threshold,1695,7.524131204903368e-18,2.8534410167380155e-17,alternative candidate is better than 1500
1000,first_30,appearance_cumulative_threshold,2399,5.78342656673902e-18,2.5365721056186083e-17,alternative candidate is better than 1500
1000,first_50,appearance_cumulative_threshold,3502,9.053595102292067e-18,2.746777597555395e-17,alternative candidate is better than 1500
1100,first_1,appearance_cumulative_threshold,76,-1.1167282376600696e-17,3.9259531298422475e-18,alternative candidate is better than 1500
1100,first_5,appearance_cumulative_threshold,406,2.447209203507052e-17,7.21277512265135e-17,alternative candidate is better than 1500
1100,first_10,appearance_cumulative_threshold,855,8.111706620175439e-18,2.937769423439319e-17,alternative candidate is better than 1500
1100,first_20,appearance_cumulative_threshold,1695,5.46103879108538e-18,1.7019223624634994e-17,alternative candidate is better than 1500
1100,first_30,appearance_cumulative_threshold,2399,6.004849947320056e-18,2.0362211638919925e-17,alternative candidate is better than 1500
1100,first_50,appearance_cumulative_threshold,3502,1.2799600488365023e-17,2.9804104723253727e-17,alternative candidate is better than 1500
1200,first_1,appearance_cumulative_threshold,76,2.414917681030871e-17,1.1814379883757834e-16,alternative candidate is better than 1500
1200,first_5,appearance_cumulative_threshold,406,2.8058771684985e-17,8.100645906661154e-17,alternative candidate is better than 1500
1200,first_10,appearance_cumulative_threshold,855,9.948458434364908e-18,3.4578821287804355e-17,alternative candidate is better than 1500
1200,first_20,appearance_cumulative_threshold,1695,5.112253111006429e-18,2.058845555529524e-17,alternative candidate is better than 1500
1200,first_30,appearance_cumulative_threshold,2399,9.35435081977828e-19,9.41118217583916e-18,alternative candidate is better than 1500
1200,first_50,appearance_cumulative_threshold,3502,6.325129283148177e-18,1.548223364981585e-17,alternative candidate is better than 1500
1300,first_1,appearance_cumulative_threshold,76,-1.2553919891937419e-17,-2.392092372136439e-17,alternative candidate is better than 1500
1300,first_5,appearance_cumulative_threshold,406,6.3869121574718744e-18,1.6005601332534776e-17,alternative candidate is better than 1500
1300,first_10,appearance_cumulative_threshold,855,-3.0030498068773937e-18,-5.165621017353159e-18,alternative candidate is better than 1500
1300,first_20,appearance_cumulative_threshold,1695,-2.0599441497662457e-18,-7.966423325665762e-18,alternative candidate is better than 1500
1300,first_30,appearance_cumulative_threshold,2399,-9.92125207034581e-19,-5.384223010472407e-18,alternative candidate is better than 1500
1300,first_50,appearance_cumulative_threshold,3502,2.0503054097277903e-18,-2.7779352522209976e-18,alternative candidate is better than 1500
1400,first_1,appearance_cumulative_threshold,76,2.8714238589195046e-17,8.673617379884035e-17,alternative candidate is better than 1500
1400,first_5,appearance_cumulative_threshold,406,1.9169281908257872e-17,5.64255128663786e-17,alternative candidate is better than 1500
1400,first_10,appearance_cumulative_threshold,855,4.882079957975663e-19,1.0651810817401448e-17,alternative candidate is better than 1500
1400,first_20,appearance_cumulative_threshold,1695,-1.351374853854259e-19,7.549373286455999e-18,alternative candidate is better than 1500
1400,first_30,appearance_cumulative_threshold,2399,-6.785726055310941e-19,1.9281534592297443e-18,alternative candidate is better than 1500
1400,first_50,appearance_cumulative_threshold,3502,1.607613387254746e-18,3.594523387614421e-18,alternative candidate is better than 1500
