analysis_group,model,initial_rating,number_of_matches,brier,log_loss,accuracy,mean_predicted_probability,empirical_win_rate,prediction_bias,delta_definition,number_of_appearances
overall_2025,Selected_Glicko,1500,11379,0.18760386892431,0.5517787243002221,0.7114860708322348,0.5374409144123229,0.5354600580015818,0.0019808564107410167,,
overall_2025,Validation_best_Elo,,11379,0.19007264006008115,0.5565342559485486,0.7044555760611653,0.5358810622378227,0.5354600580015818,0.00042100423624087587,,
overall_2025,Delta_Elo_minus_Selected_Glicko,1500,11379,0.002468771135771153,0.004755531648326428,0.00703049477106954,,0.5354600580015818,,Elo metric minus selected Glicko metric; positive Brier/log loss means selected Glicko is better,
first_1,Selected_Glicko,1500,74,0.3223155238042425,0.895574386041908,0.5131578947368421,0.7434483364117653,0.40789473684210525,0.33555359956966013,,76.0
first_1,Validation_best_Elo,,74,0.21052176486868873,0.6032904936938518,0.6447368421052632,0.5385363224511316,0.40789473684210525,0.13064158560902633,,76.0
first_1,Delta_Elo_minus_Selected_Glicko,1500,74,-0.11179375893555377,-0.2922838923480562,-0.13157894736842102,,0.40789473684210525,,Elo metric minus selected Glicko metric; positive Brier/log loss means selected Glicko is better,76.0
first_5,Selected_Glicko,1500,387,0.2538089414373223,0.7280283243403783,0.6231527093596059,0.5863701517446317,0.4433497536945813,0.14302039805005043,,406.0
first_5,Validation_best_Elo,,387,0.23380795352427225,0.6655330156878843,0.6108374384236454,0.5329992649330123,0.4433497536945813,0.08964951123843104,,406.0
first_5,Delta_Elo_minus_Selected_Glicko,1500,387,-0.02000098791305005,-0.062495308652494086,0.01231527093596052,,0.4433497536945813,,Elo metric minus selected Glicko metric; positive Brier/log loss means selected Glicko is better,406.0
first_10,Selected_Glicko,1500,785,0.23148860293404866,0.6689450861457152,0.6573099415204678,0.509801506396086,0.4304093567251462,0.07939214967093985,,855.0
first_10,Validation_best_Elo,,785,0.22107566026958406,0.6314538120560313,0.631578947368421,0.4957156475934655,0.4304093567251462,0.0653062908683193,,855.0
first_10,Delta_Elo_minus_Selected_Glicko,1500,785,-0.010412942664464603,-0.03749127408968389,0.025730994152046827,,0.4304093567251462,,Elo metric minus selected Glicko metric; positive Brier/log loss means selected Glicko is better,855.0
first_20,Selected_Glicko,1500,1463,0.21653766118560314,0.6265296253020216,0.6707964601769911,0.4769582712792407,0.431858407079646,0.04509986419959464,,1695.0
first_20,Validation_best_Elo,,1463,0.2126556705433081,0.6090924793565669,0.6501474926253688,0.4756744316666206,0.431858407079646,0.04381602458697451,,1695.0
first_20,Delta_Elo_minus_Selected_Glicko,1500,1463,-0.0038819906422950246,-0.017437145945454757,0.020648967551622377,,0.431858407079646,,Elo metric minus selected Glicko metric; positive Brier/log loss means selected Glicko is better,1695.0
