group,model,model_display,n_appearances,n_unique_players,n_unique_matches,brier,log_loss,accuracy,mean_predicted_probability,empirical_win_rate,prediction_bias
first_1,Validation_best_Elo,Validation-best Elo,76,76,74,0.21052176486868873,0.6032904936938518,0.6447368421052632,0.5385363224511316,0.40789473684210525,0.13064158560902633
first_1,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,76,76,74,0.2253324654057314,0.6371845489171213,0.6052631578947368,0.5702537227172501,0.40789473684210525,0.1623589858751448
first_1,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,76,76,74,0.225332465405726,0.6371845489171161,0.6052631578947368,0.5702537227172557,0.40789473684210525,0.16235898587515046
first_1,Glicko_low_inflation_match_by_match,Low-inflation Glicko,76,76,74,0.3223155238041685,0.8955743860416253,0.5131578947368421,0.7434483364116711,0.40789473684210525,0.3355535995695658
first_5,Validation_best_Elo,Validation-best Elo,406,108,387,0.23380795352427225,0.6655330156878843,0.6108374384236454,0.5329992649330123,0.4433497536945813,0.08964951123843101
first_5,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,406,108,387,0.24064404614453028,0.678199942545269,0.603448275862069,0.5593997328592192,0.4433497536945813,0.11604997916463788
first_5,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,406,108,387,0.24064404614452767,0.6781999425452918,0.603448275862069,0.5593997328592276,0.4433497536945813,0.11604997916464632
first_5,Glicko_low_inflation_match_by_match,Low-inflation Glicko,406,108,387,0.2538089414373357,0.7280283243404324,0.6231527093596059,0.5863701517446197,0.4433497536945813,0.1430203980500384
first_10,Validation_best_Elo,Validation-best Elo,855,166,785,0.22107566026958406,0.6314538120560313,0.631578947368421,0.4957156475934655,0.4304093567251462,0.0653062908683193
first_10,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,855,166,785,0.22803452481270634,0.6465529301938401,0.6269005847953216,0.5238359756450128,0.4304093567251462,0.09342661891986664
first_10,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,855,166,785,0.22803452481271044,0.6465529301938588,0.6269005847953216,0.5238359756450096,0.4304093567251462,0.09342661891986342
first_10,Glicko_low_inflation_match_by_match,Low-inflation Glicko,855,166,785,0.2314886029340631,0.6689450861457797,0.6573099415204678,0.5098015063960825,0.4304093567251462,0.07939214967093627
first_20,Validation_best_Elo,Validation-best Elo,1695,255,1463,0.2126556705433081,0.6090924793565669,0.6501474926253688,0.4756744316666206,0.431858407079646,0.04381602458697459
first_20,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,1695,255,1463,0.21792612032985328,0.6221528998569157,0.6489675516224189,0.5015838843506055,0.431858407079646,0.06972547727095951
first_20,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,1695,255,1463,0.21792612032985983,0.6221528998569336,0.6489675516224189,0.5015838843506019,0.431858407079646,0.06972547727095585
first_20,Glicko_low_inflation_match_by_match,Low-inflation Glicko,1695,255,1463,0.21653766118561682,0.6265296253020721,0.6707964601769911,0.47695827127924884,0.431858407079646,0.045099864199602824
first_30,Validation_best_Elo,Validation-best Elo,2399,302,1987,0.20794138858339475,0.5969809899915454,0.6594414339308045,0.4625234640337461,0.4314297624010004,0.03109370163274572
first_30,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,2399,302,1987,0.2133380678167739,0.6106199796887195,0.6548561900791997,0.4873058611861848,0.4314297624010004,0.0558760987851844
first_30,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,2399,302,1987,0.21333806781678066,0.6106199796887367,0.6548561900791997,0.48730586118617847,0.4314297624010004,0.055876098785178074
first_30,Glicko_low_inflation_match_by_match,Low-inflation Glicko,2399,302,1987,0.2104408786131236,0.6098531134878853,0.6761150479366402,0.4626369653982622,0.4314297624010004,0.031207202997261818
first_50,Validation_best_Elo,Validation-best Elo,3502,381,2749,0.20843697736900138,0.598685965424186,0.6610508280982296,0.4534690911126157,0.4357509994288978,0.017718091683717907
first_50,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,3502,381,2749,0.2121046618949939,0.6081431103452729,0.6581953169617362,0.47563852738220724,0.4357509994288978,0.039887527953309465
first_50,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,3502,381,2749,0.21210466189499957,0.6081431103452887,0.6581953169617362,0.4756385273822036,0.4357509994288978,0.0398875279533058
first_50,Glicko_low_inflation_match_by_match,Low-inflation Glicko,3502,381,2749,0.2091003782869653,0.6055567258892653,0.67390062821245,0.4561932288434212,0.4357509994288978,0.020442229414523394
