appearance_stage,model,model_display,n_appearances,n_unique_players,n_unique_matches,brier,log_loss,accuracy,mean_predicted_probability,empirical_win_rate,prediction_bias
1,Validation_best_Elo,Validation-best Elo,76,76,74,0.21052176486868873,0.6032904936938518,0.6447368421052632,0.5385363224511316,0.40789473684210525,0.13064158560902633
1,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,76,76,74,0.2253324654057314,0.6371845489171213,0.6052631578947368,0.5702537227172501,0.40789473684210525,0.1623589858751448
1,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,76,76,74,0.225332465405726,0.6371845489171161,0.6052631578947368,0.5702537227172557,0.40789473684210525,0.16235898587515046
1,Glicko_low_inflation_match_by_match,Low-inflation Glicko,76,76,74,0.3223155238041685,0.8955743860416253,0.5131578947368421,0.7434483364116711,0.40789473684210525,0.3355535995695658
2-5,Validation_best_Elo,Validation-best Elo,330,106,316,0.23917083333586117,0.6798676571168129,0.603030303030303,0.5317240638076273,0.45151515151515154,0.08020891229247573
2-5,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,330,106,316,0.2441703495874051,0.6876459119869033,0.603030303030303,0.5569000261040363,0.45151515151515154,0.10538487458888479
2-5,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,330,106,316,0.24417034958740316,0.6876459119869323,0.603030303030303,0.5569000261040453,0.45151515151515154,0.10538487458889378
2-5,Glicko_low_inflation_match_by_match,Low-inflation Glicko,330,106,316,0.23803166792254996,0.6894419586153092,0.6484848484848484,0.5501945698212988,0.45151515151515154,0.09867941830614724
6-10,Validation_best_Elo,Validation-best Elo,449,121,433,0.20956271803928692,0.6006383183488326,0.6503340757238307,0.46200262166951,0.41870824053452116,0.043294381134988846
6-10,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,449,121,433,0.2166325968378277,0.6179367007624813,0.6481069042316259,0.4916781016384031,0.41870824053452116,0.07296986110388193
6-10,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,449,121,433,0.21663259683783792,0.6179367007624964,0.6481069042316259,0.4916781016383893,0.41870824053452116,0.07296986110386816
6-10,Glicko_low_inflation_match_by_match,Low-inflation Glicko,449,121,433,0.21130584696005716,0.6155201536134212,0.688195991091314,0.4405657157245766,0.41870824053452116,0.02185747519005543
11-20,Validation_best_Elo,Validation-best Elo,840,171,794,0.20408532385763442,0.5863318371446119,0.669047619047619,0.45527533688393906,0.43333333333333335,0.021942003550605715
11-20,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,840,171,794,0.20763720862409216,0.5973171546925462,0.6714285714285714,0.4789344342830837,0.43333333333333335,0.04560110094975034
11-20,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,840,171,794,0.20763720862410112,0.5973171546925631,0.6714285714285714,0.47893443428307986,0.43333333333333335,0.04560110094974651
11-20,Glicko_low_inflation_match_by_match,Low-inflation Glicko,840,171,794,0.20131973833451974,0.5833567455147273,0.6845238095238095,0.4435285498210431,0.43333333333333335,0.010195216487709768
21-50,Validation_best_Elo,Validation-best Elo,1807,199,1633,0.20447976379376626,0.5889244595495952,0.6712783619258439,0.43264006386356296,0.4394023242944106,-0.006762260430847655
21-50,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,1807,199,1633,0.20664402434818338,0.5950016641791223,0.6668511344770337,0.4513012943653645,0.4394023242944106,0.011898970070953863
21-50,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,1807,199,1633,0.20664402434818818,0.5950016641791362,0.6668511344770337,0.4513012943653607,0.4394023242944106,0.011898970070950088
21-50,Glicko_low_inflation_match_by_match,Low-inflation Glicko,1807,199,1633,0.20212406699022242,0.5858837516199198,0.6768123962368566,0.4367152283294599,0.4394023242944106,-0.002687095964950703
51+,Validation_best_Elo,Validation-best Elo,19256,786,10626,0.18673280264546546,0.5488683187557939,0.7123493975903614,0.5084623620130667,0.5116846697133361,-0.0032223077002694334
51+,AdaptiveK_PreviousYearGames_Elo_scale300,Adaptive-K reference,19256,786,10626,0.18690346323859697,0.5502809676774496,0.7149459908599917,0.5044305087820685,0.5116846697133361,-0.007254160931267628
51+,Asymmetric_AdaptiveK_PreviousYearGames_Elo_scale300,Asymmetric adaptive-K,19256,786,10626,0.18690346323859666,0.5502809676774488,0.7149459908599917,0.5044305087820691,0.5116846697133361,-0.007254160931267073
51+,Glicko_low_inflation_match_by_match,Low-inflation Glicko,19256,786,10626,0.18369439780943797,0.5419983669277327,0.718321562110511,0.5079669356351448,0.5116846697133361,-0.003717734078191315
