scope,group,convention,metric,point_estimate,ci_lower,ci_upper,bootstrap_type,cluster_variable,bootstrap_repetitions,clusters,observations,positive_delta_means
match_level,all_2025_matches,current,delta_brier,0.0024687711357753994,0.0010793233537615189,0.003957180943467741,paired_event_cluster,event_key,2000,629,11379,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,current,delta_log_loss,0.004755531648314215,0.0011322782123829034,0.0083722527014217,paired_event_cluster,event_key,2000,629,11379,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,reversed,delta_brier,0.001974486778366258,0.0004624905442276048,0.003432331216365193,paired_event_cluster,event_key,2000,629,11379,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,reversed,delta_log_loss,0.0026258620960760704,-0.0011736787701578405,0.006422201646089224,paired_event_cluster,event_key,2000,629,11379,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,midpoint,delta_brier,0.002241905523329063,0.0008131648235311275,0.003736220624473172,paired_event_cluster,event_key,2000,629,11379,Glicko convention is better than validation-best Elo
match_level,all_2025_matches,midpoint,delta_log_loss,0.003873367788614024,0.00013754461340450275,0.0076911474917783435,paired_event_cluster,event_key,2000,629,11379,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,current,delta_brier,-0.1148152118794391,-0.15789586799231867,-0.06945892390138958,paired_event_cluster,event_key,2000,60,74,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,current,delta_log_loss,-0.300183457005302,-0.42114907620194375,-0.17721531417420025,paired_event_cluster,event_key,2000,60,74,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,reversed,delta_brier,-0.15390297800035813,-0.21209306255280272,-0.0993692317655029,paired_event_cluster,event_key,2000,60,74,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,reversed,delta_log_loss,-0.46251683726033965,-0.6402387767930703,-0.29405164691717234,paired_event_cluster,event_key,2000,60,74,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,midpoint,delta_brier,-0.13342620336347905,-0.1821223836675062,-0.08293823214259129,paired_event_cluster,event_key,2000,60,74,Glicko convention is better than validation-best Elo
match_level,either_player_first_1,midpoint,delta_log_loss,-0.3690988747493267,-0.5178502435680185,-0.2243070234415483,paired_event_cluster,event_key,2000,60,74,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,current,delta_brier,-0.01975586543561908,-0.03933499608488045,0.0010151024170152413,paired_event_cluster,event_key,2000,98,387,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,current,delta_log_loss,-0.05903294033557838,-0.11150010295868899,-0.003936634713275742,paired_event_cluster,event_key,2000,98,387,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,reversed,delta_brier,-0.03254791359120918,-0.05353981026134174,-0.010365382419579289,paired_event_cluster,event_key,2000,98,387,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,reversed,delta_log_loss,-0.11719940923985994,-0.1759910267027175,-0.05544211618298423,paired_event_cluster,event_key,2000,98,387,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,midpoint,delta_brier,-0.025776634954780553,-0.04626856517139892,-0.0038893941402836788,paired_event_cluster,event_key,2000,98,387,Glicko convention is better than validation-best Elo
match_level,either_player_first_5,midpoint,delta_log_loss,-0.08366354077513927,-0.1373010757868994,-0.028306229856461262,paired_event_cluster,event_key,2000,98,387,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,current,delta_brier,-0.007721189215986801,-0.02095586448783494,0.006764198109041461,paired_event_cluster,event_key,2000,165,785,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,current,delta_log_loss,-0.028194024648455662,-0.06311203901721425,0.009281188535968888,paired_event_cluster,event_key,2000,165,785,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,reversed,delta_brier,-0.014629678039724286,-0.02905713668572048,0.0013019663580075191,paired_event_cluster,event_key,2000,165,785,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,reversed,delta_log_loss,-0.05928073482598373,-0.09925607852443767,-0.017877474300857562,paired_event_cluster,event_key,2000,165,785,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,midpoint,delta_brier,-0.010964042514419042,-0.02557418446006659,0.0033240795149685593,paired_event_cluster,event_key,2000,165,785,Glicko convention is better than validation-best Elo
match_level,either_player_first_10,midpoint,delta_log_loss,-0.041381118891979485,-0.0804999326705683,-0.003691940433001739,paired_event_cluster,event_key,2000,165,785,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,current,delta_brier,-0.001248898546312216,-0.010489498802832828,0.007550765954386234,paired_event_cluster,event_key,2000,260,1463,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,current,delta_log_loss,-0.008898325579536848,-0.032162363949621825,0.013842461097864082,paired_event_cluster,event_key,2000,260,1463,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,reversed,delta_brier,-0.005117049482808833,-0.01456706307233168,0.004172815801222382,paired_event_cluster,event_key,2000,260,1463,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,reversed,delta_log_loss,-0.02586969537458439,-0.05120711099013174,-0.001001911042927712,paired_event_cluster,event_key,2000,260,1463,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,midpoint,delta_brier,-0.0030600719726562864,-0.012132310547688678,0.006197526603151157,paired_event_cluster,event_key,2000,260,1463,Glicko convention is better than validation-best Elo
match_level,either_player_first_20,midpoint,delta_log_loss,-0.016088152411644296,-0.03943227188608003,0.00768838092411307,paired_event_cluster,event_key,2000,260,1463,Glicko convention is better than validation-best Elo
appearance_level,first_1,current,delta_brier,-0.1117937589352434,-0.1585712192572867,-0.06743228934368792,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_1,current,delta_log_loss,-0.29228389234726804,-0.43018824098088704,-0.1696711719430606,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_1,current,candidate_bias,0.33555359956924846,0.23222324786509146,0.44477797048987083,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_1,reversed,delta_brier,-0.1498528996319276,-0.2030648405490947,-0.09582330971718575,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_1,reversed,delta_log_loss,-0.4503453415429627,-0.6147784763766818,-0.2820089245514671,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_1,reversed,candidate_bias,0.37909924267001316,0.2741491633133302,0.47731846497517055,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_1,midpoint,delta_brier,-0.12991498748549285,-0.1817805794767475,-0.08006465247065883,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_1,midpoint,delta_log_loss,-0.35938574646644983,-0.5112263894023785,-0.21271973276377393,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_1,midpoint,candidate_bias,0.35732642111963075,0.2538035643853519,0.46453404506437057,paired_focal_player_cluster,player_id,2000,76,76,Glicko convention is better than validation-best Elo
appearance_level,first_5,current,delta_brier,-0.020000987912930313,-0.0371411077044425,-0.002412398903779453,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_5,current,delta_log_loss,-0.06249530865228803,-0.10933392824773298,-0.016031671284365924,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_5,current,candidate_bias,0.14302039804990824,0.10368002491431402,0.18322733125885657,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_5,reversed,delta_brier,-0.032169992526378755,-0.05105177771978533,-0.01381657149438956,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_5,reversed,delta_log_loss,-0.11920969956445271,-0.1733521302845354,-0.0665978693142984,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_5,reversed,candidate_bias,0.15632491951811056,0.11656983700441755,0.19669288871708818,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_5,midpoint,delta_brier,-0.02572579761746513,-0.045255076632802475,-0.007029352587222545,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_5,midpoint,delta_log_loss,-0.08652556976824977,-0.13963554842630904,-0.03553652965237258,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_5,midpoint,candidate_bias,0.1496726587840094,0.10798950233708089,0.19193185848002295,paired_focal_player_cluster,player_id,2000,108,406,Glicko convention is better than validation-best Elo
appearance_level,first_10,current,delta_brier,-0.010412942664404234,-0.022510893592683077,0.0022059179338728544,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_10,current,delta_log_loss,-0.03749127408953201,-0.06923528124505822,-0.0025890185128176627,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_10,current,candidate_bias,0.07939214967091453,0.049891603104089285,0.1084878740005548,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_10,reversed,delta_brier,-0.017193651432709817,-0.03014588548710696,-0.005035985259396915,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_10,reversed,delta_log_loss,-0.0698404158831184,-0.10545419917281197,-0.03438513301725159,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_10,reversed,candidate_bias,0.0849507288598604,0.05638767965724022,0.1143612985911629,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_10,midpoint,delta_brier,-0.01359772085210742,-0.02598955669500684,-0.0014285887651235391,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_10,midpoint,delta_log_loss,-0.05118559660138777,-0.08581223477148875,-0.01860246148037643,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_10,midpoint,candidate_bias,0.08217143926538746,0.05292355217905475,0.11168291449462278,paired_focal_player_cluster,player_id,2000,166,855,Glicko convention is better than validation-best Elo
appearance_level,first_20,current,delta_brier,-0.003881990642227884,-0.010655160048744066,0.003510481928674099,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
appearance_level,first_20,current,delta_log_loss,-0.017437145945306542,-0.03545663054871238,0.0026808247616535814,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
appearance_level,first_20,current,candidate_bias,0.04509986419957263,0.023175670754565947,0.06609020246539887,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
appearance_level,first_20,reversed,delta_brier,-0.007898396100616656,-0.015738302559661417,-0.0005165306440027842,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
appearance_level,first_20,reversed,delta_log_loss,-0.036148021750519566,-0.05944830210872276,-0.015425103081926177,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
appearance_level,first_20,reversed,candidate_bias,0.04648414852381614,0.02577333943196125,0.06728276577536287,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
appearance_level,first_20,midpoint,delta_brier,-0.005765926902589508,-0.013504686758079948,0.0019161096971251543,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
appearance_level,first_20,midpoint,delta_log_loss,-0.025336831131385074,-0.04632694467418663,-0.004820885127115248,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
appearance_level,first_20,midpoint,candidate_bias,0.045792006361694386,0.024490779696663245,0.06789513740816676,paired_focal_player_cluster,player_id,2000,255,1695,Glicko convention is better than validation-best Elo
