scope,group,source_group,convention,number_of_observations,Glicko_Brier,Glicko_logloss,Glicko_prediction_bias,bias_CI_lower,bias_CI_upper,bias_conclusion,Elo_minus_Glicko_delta_Brier,delta_Brier_CI_lower,delta_Brier_CI_upper,Brier_conclusion,Elo_minus_Glicko_delta_logloss,delta_logloss_CI_lower,delta_logloss_CI_upper,logloss_conclusion,main_finding_robust,evidence_strength_note
match_level,overall,all_2025_matches,current,11379,0.1876038689243057,0.5517787243002343,0.0019808564107388,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,0.0024687711357753,0.0010793233537615,0.0039571809434677,GLICKO_BETTER,0.0047555316483142,0.0011322782123829,0.0083722527014217,GLICKO_BETTER,True,"Overall Brier is robust; log-loss point estimates favour Glicko, with reversed CI crossing zero."
match_level,overall,all_2025_matches,reversed,11379,0.1880981532817149,0.5539083938524725,0.0022089857649154,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,0.0019744867783662,0.0004624905442276,0.0034323312163651,GLICKO_BETTER,0.002625862096076,-0.0011736787701578,0.0064222016460892,NO_CLEAR_DIFFERENCE,True,"Overall Brier is robust; log-loss point estimates favour Glicko, with reversed CI crossing zero."
match_level,overall,all_2025_matches,midpoint,11379,0.1878307345367521,0.5526608881599345,0.0020949210878271,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,0.002241905523329,0.0008131648235311,0.0037362206244731,GLICKO_BETTER,0.003873367788614,0.0001375446134045,0.0076911474917783,GLICKO_BETTER,True,"Overall Brier is robust; log-loss point estimates favour Glicko, with reversed CI crossing zero."
match_level,first_1,either_player_first_1,current,74,0.3242699974202546,0.9010453915946648,-0.358332817722914,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.1148152118794391,-0.1578958679923186,-0.0694589239013895,ELO_BETTER,-0.300183457005302,-0.4211490762019437,-0.1772153141742002,ELO_BETTER,True,First_1 Elo advantage and Glicko over-prediction are robust.
match_level,first_1,either_player_first_1,reversed,74,0.3633577635411736,1.0633787718497023,-0.4053136467428591,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.1539029780003581,-0.2120930625528027,-0.0993692317655029,ELO_BETTER,-0.4625168372603396,-0.6402387767930703,-0.2940516469171723,ELO_BETTER,True,First_1 Elo advantage and Glicko over-prediction are robust.
match_level,first_1,either_player_first_1,midpoint,74,0.3428809889042945,0.9699608093386896,-0.3818232322328866,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.133426203363479,-0.1821223836675062,-0.0829382321425912,ELO_BETTER,-0.3690988747493267,-0.5178502435680185,-0.2243070234415483,ELO_BETTER,True,First_1 Elo advantage and Glicko over-prediction are robust.
match_level,first_5,either_player_first_5,current,387,0.2530149715582352,0.7237003524878902,-0.1486861479564722,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.019755865435619,-0.0393349960848804,0.0010151024170152,NO_CLEAR_DIFFERENCE,-0.0590329403355783,-0.1115001029586889,-0.0039366347132757,ELO_BETTER,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
match_level,first_5,either_player_first_5,reversed,387,0.2658070197138253,0.7818668213921718,-0.1634905845818849,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.0325479135912091,-0.0535398102613417,-0.0103653824195792,ELO_BETTER,-0.1171994092398599,-0.1759910267027175,-0.0554421161829842,ELO_BETTER,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
match_level,first_5,either_player_first_5,midpoint,387,0.2590357410773967,0.7483309529274511,-0.1560883662691787,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.0257766349547805,-0.0462685651713989,-0.0038893941402836,ELO_BETTER,-0.0836635407751392,-0.1373010757868994,-0.0283062298564612,ELO_BETTER,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
match_level,first_10,either_player_first_10,current,785,0.2275638294014611,0.6569509579047144,-0.0880160712959261,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.0077211892159868,-0.0209558644878349,0.0067641981090414,NO_CLEAR_DIFFERENCE,-0.0281940246484556,-0.0631120390172142,0.0092811885359688,NO_CLEAR_DIFFERENCE,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
match_level,first_10,either_player_first_10,reversed,785,0.2344723182251986,0.6880376680822424,-0.0944476973564695,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.0146296780397242,-0.0290571366857204,0.0013019663580075,NO_CLEAR_DIFFERENCE,-0.0592807348259837,-0.0992560785244376,-0.0178774743008575,ELO_BETTER,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
match_level,first_10,either_player_first_10,midpoint,785,0.2308066826998934,0.6701380521482382,-0.0912318843261978,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.010964042514419,-0.0255741844600665,0.0033240795149685,NO_CLEAR_DIFFERENCE,-0.0413811188919794,-0.0804999326705683,-0.0036919404330017,ELO_BETTER,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
match_level,first_20,either_player_first_20,current,1463,0.2112536451160169,0.6115207806528086,-0.0489857961118022,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.0012488985463122,-0.0104894988028328,0.0075507659543862,NO_CLEAR_DIFFERENCE,-0.0088983255795368,-0.0321623639496218,0.013842461097864,NO_CLEAR_DIFFERENCE,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
match_level,first_20,either_player_first_20,reversed,1463,0.2151217960525135,0.6284921504478561,-0.0516609287435555,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.0051170494828088,-0.0145670630723316,0.0041728158012223,NO_CLEAR_DIFFERENCE,-0.0258696953745843,-0.0512071109901317,-0.0010019110429277,ELO_BETTER,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
match_level,first_20,either_player_first_20,midpoint,1463,0.213064818542361,0.618710607484916,-0.0503233624276788,,,NOT_BOOTSTRAPPED_FOR_THIS_SCOPE,-0.0030600719726562,-0.0121323105476886,0.0061975266031511,NO_CLEAR_DIFFERENCE,-0.0160881524116442,-0.03943227188608,0.007688380924113,NO_CLEAR_DIFFERENCE,True,"Point-estimate direction is broadly similar, but CI classification varies by convention, metric or analysis unit."
appearance_level,first_1,first_1,current,76,0.3223155238039321,0.8955743860411198,0.3355535995692485,0.2322232478650914,0.4447779704898708,OVER_PREDICTION,-0.1117937589352434,-0.1585712192572867,-0.0674322893436879,ELO_BETTER,-0.292283892347268,-0.430188240980887,-0.1696711719430606,ELO_BETTER,True,First_1 Elo advantage and Glicko over-prediction are robust.
appearance_level,first_1,first_1,reversed,76,0.3603746645006163,1.0536358352368145,0.3790992426700132,0.2741491633133302,0.4773184649751705,OVER_PREDICTION,-0.1498528996319276,-0.2030648405490947,-0.0958233097171857,ELO_BETTER,-0.4503453415429627,-0.6147784763766818,-0.2820089245514671,ELO_BETTER,True,First_1 Elo advantage and Glicko over-prediction are robust.
appearance_level,first_1,first_1,midpoint,76,0.3404367523541816,0.9626762401603016,0.3573264211196308,0.2538035643853519,0.4645340450643705,OVER_PREDICTION,-0.1299149874854928,-0.1817805794767475,-0.0800646524706588,ELO_BETTER,-0.3593857464664498,-0.5112263894023785,-0.2127197327637739,ELO_BETTER,True,First_1 Elo advantage and Glicko over-prediction are robust.
