year,matches,n_active_players,n_established_active_players,n_known_players_end_year,n_new_recorded_players,mean_rating_active,median_rating_active,p10_rating_active,p90_rating_active,mean_rating_established_active,median_rating_established_active,p10_rating_established_active,p90_rating_established_active,mean_rating_all_known,median_rating_all_known,initial_rating,initial_minus_established_active_median,net_glicko_rating_update_change,cumulative_net_glicko_rating_update_change,rating_sum_end_year,rating_sum_reconciliation_error
1985,2828,314,0,314,314,1470.2685438313724,1441.8148340762632,1176.5521653273104,1795.374636261345,,,,,1470.2685438313724,1441.8148340762632,1500.0,,-9335.67723694908,-9335.67723694908,461664.3227630509,0.0
1986,3142,372,254,432,118,1471.8226650285262,1469.6264458460146,1185.2977685302324,1768.6106581152546,1485.3552550443821,1499.614079890481,1188.6516586206244,1778.137349972061,1460.709573686251,1451.6244980545243,1500.0,0.3859201095190201,-7637.7869305904915,-16973.464167539572,631026.5358324604,0.0
1987,3444,393,319,506,74,1468.232038924489,1460.2472832923238,1159.7956227364768,1777.9724000997066,1485.5244092463556,1491.4292447835405,1163.4889361568132,1794.6235229661756,1449.5881006964041,1432.5977779758573,1500.0,8.570755216459474,-8534.956880080028,-25508.421047619602,733491.5789523805,1.1641532182693481e-10
1988,3909,421,327,600,94,1462.489718558541,1456.6751027679443,1167.3028396047846,1766.3608889961026,1484.0492769243592,1481.8447830269533,1181.0845852752689,1804.56883744109,1437.6349194699026,1424.5085449217495,1500.0,18.155216973046663,-11910.627270438754,-37419.048318058354,862580.9516819415,4.656612873077393e-10
1989,4530,550,380,770,170,1462.9306518698857,1451.0761358941202,1159.2840890466223,1775.4477918223868,1496.2520812906805,1491.7820828478502,1178.772644651419,1803.3048288835173,1429.1400423284226,1413.9014412601982,1500.0,8.217917152149766,-17143.119089056134,-54562.16740711449,1100437.8325928855,6.984919309616089e-10
1990,4985,534,423,881,111,1471.6943459120398,1461.0850707691252,1166.1071891822376,1788.1577248923745,1499.6817889208608,1502.752143662137,1176.8794742470677,1813.8706444399018,1420.8445603756265,1407.7863793785334,1500.0,-2.7521436621370867,-15173.7749019583,-69735.9423090728,1251764.057690927,0.0
1991,5868,642,478,1045,164,1460.1811212269038,1452.5269436945096,1156.2062984526842,1775.8064986524425,1482.4180677556442,1478.648546007154,1158.0423435129326,1792.1396468486157,1416.1727059145421,1399.4409304123014,1500.0,21.351453992846018,-17863.58001023079,-87599.52231930359,1479900.4776806964,9.313225746154785e-10
1992,6598,721,584,1182,137,1440.6965826554695,1430.8809486391904,1111.0328459338978,1777.6167725496368,1470.4254949254037,1466.6700297232483,1143.123493906229,1801.0522641010575,1402.1938827881245,1380.2383249955324,1500.0,33.32997027675174,-28007.308225133133,-115606.83054443673,1657393.1694555632,2.0954757928848267e-09
1993,7401,787,636,1333,151,1438.8477367833061,1421.8524502877815,1141.3630163802798,1773.304127860827,1464.534662822508,1455.8444692144385,1153.0797120615982,1802.3537878055758,1395.141248977627,1376.7757766505342,1500.0,44.155530785561496,-24169.884568386573,-139776.7151128233,1859723.2848871767,0.0
1994,7306,742,642,1433,100,1451.3053413965072,1441.8942904764099,1148.9001267663937,1794.8455370661616,1467.78144893277,1455.509212993331,1157.5852528008563,1807.762845188513,1391.794551677493,1375.8043041394317,1500.0,44.49078700666905,-15281.692333329227,-155058.40744615253,1994441.5925538475,3.725290298461914e-09
