sample,model,model_display,bin_label,bin_lower,bin_upper,games,mean_player_a_probability,empirical_player_a_win_rate,calibration_gap
Overall,Glicko_low_fixed,Glicko low inflation,0.0-0.1,0,0.1,492,0.060004223704,0.0691056910569,0.0091014673529
Overall,Glicko_low_fixed,Glicko low inflation,0.1-0.2,0.1,0.2,897,0.15170661818,0.179487179487,0.0277805613073
Overall,Glicko_low_fixed,Glicko low inflation,0.2-0.3,0.2,0.3,1082,0.251241054914,0.267097966728,0.0158569118141
Overall,Glicko_low_fixed,Glicko low inflation,0.3-0.4,0.3,0.4,1223,0.351434845622,0.359771054783,0.00833620916083
Overall,Glicko_low_fixed,Glicko low inflation,0.4-0.5,0.4,0.5,1359,0.450108080776,0.442236938926,-0.00787114185063
Overall,Glicko_low_fixed,Glicko low inflation,0.5-0.6,0.5,0.6,1405,0.550124799625,0.548042704626,-0.00208209499855
Overall,Glicko_low_fixed,Glicko low inflation,0.6-0.7,0.6,0.7,1432,0.649639800649,0.63687150838,-0.0127682922695
Overall,Glicko_low_fixed,Glicko low inflation,0.7-0.8,0.7,0.8,1276,0.749900755654,0.726489028213,-0.0234117274411
Overall,Glicko_low_fixed,Glicko low inflation,0.8-0.9,0.8,0.9,1222,0.85027819053,0.837152209493,-0.0131259810377
Overall,Glicko_low_fixed,Glicko low inflation,0.9-1.0,0.9,1,991,0.945983733697,0.944500504541,-0.00148322915638
Overall,Validation_best_Elo,Validation-best Elo,0.0-0.1,0,0.1,438,0.0569322824014,0.0433789954338,-0.0135532869676
Overall,Validation_best_Elo,Validation-best Elo,0.1-0.2,0.1,0.2,744,0.153264390598,0.172043010753,0.0187786201548
Overall,Validation_best_Elo,Validation-best Elo,0.2-0.3,0.2,0.3,1091,0.253682456064,0.264894592117,0.0112121360532
Overall,Validation_best_Elo,Validation-best Elo,0.3-0.4,0.3,0.4,1373,0.353394118191,0.367079388201,0.0136852700101
Overall,Validation_best_Elo,Validation-best Elo,0.4-0.5,0.4,0.5,1517,0.4503424565,0.44825313118,-0.00208932531991
Overall,Validation_best_Elo,Validation-best Elo,0.5-0.6,0.5,0.6,1522,0.549517620723,0.547963206307,-0.00155441441598
Overall,Validation_best_Elo,Validation-best Elo,0.6-0.7,0.6,0.7,1412,0.647549293406,0.650849858357,0.00330056495142
Overall,Validation_best_Elo,Validation-best Elo,0.7-0.8,0.7,0.8,1200,0.748509917259,0.724166666667,-0.0243432505921
Overall,Validation_best_Elo,Validation-best Elo,0.8-0.9,0.8,0.9,1081,0.849528953101,0.844588344126,-0.00494060897519
Overall,Validation_best_Elo,Validation-best Elo,0.9-1.0,0.9,1,1001,0.945474775737,0.937062937063,-0.00841183867403
Overall,best_AdaptiveK,Best adaptive-K Elo,0.0-0.1,0,0.1,228,0.0627840700991,0.0219298245614,-0.0408542455377
Overall,best_AdaptiveK,Best adaptive-K Elo,0.1-0.2,0.1,0.2,600,0.155255193425,0.113333333333,-0.0419218600917
Overall,best_AdaptiveK,Best adaptive-K Elo,0.2-0.3,0.2,0.3,1067,0.253673238497,0.247422680412,-0.00625055808456
Overall,best_AdaptiveK,Best adaptive-K Elo,0.3-0.4,0.3,0.4,1534,0.351570715187,0.356584093872,0.00501337868479
Overall,best_AdaptiveK,Best adaptive-K Elo,0.4-0.5,0.4,0.5,1706,0.451293143675,0.41735052755,-0.0339426161254
