sample,model,model_display,games,events,standard_player_a_calibration_error,brier,logloss
Overall,Glicko_low_fixed,Glicko low inflation,11379,629,0.0119552738142,0.187603868924,0.5517787243
Overall,Validation_best_Elo,Validation-best Elo,11379,629,0.00914831019712,0.19007264006,0.556534255949
Overall,best_AdaptiveK,Best adaptive-K Elo,11379,629,0.0194258475216,0.190781422536,0.559184791547
Overall,Glicko_C0_fixed,Glicko C0,11379,629,0.0295141579744,0.195707693341,0.571957573912
Overall,Default_Elo,Default Elo,11379,629,0.0272774436683,0.194155553153,0.567632617282
Either player debut,Glicko_low_fixed,Glicko low inflation,74,60,0.358332817723,0.324269997421,0.901045391595
Either player debut,Validation_best_Elo,Validation-best Elo,74,60,0.185578252843,0.209454785541,0.600861934589
Either player debut,best_AdaptiveK,Best adaptive-K Elo,74,60,0.20398960327,0.224665775282,0.635672045359
Either player debut,Glicko_C0_fixed,Glicko C0,74,60,0.38032602918,0.351249293154,0.969825820788
Either player debut,Default_Elo,Default Elo,74,60,0.164721380635,0.220392814334,0.629610335018
Minimum total games <=5,Glicko_low_fixed,Glicko low inflation,465,119,0.148675750557,0.245701697551,0.703577935979
Minimum total games <=5,Validation_best_Elo,Validation-best Elo,465,119,0.0913118377406,0.233014669881,0.662449355276
Minimum total games <=5,best_AdaptiveK,Best adaptive-K Elo,465,119,0.119143468707,0.238299233924,0.671916935252
Minimum total games <=5,Glicko_C0_fixed,Glicko C0,465,119,0.14247040584,0.248713997696,0.712899407488
Minimum total games <=5,Default_Elo,Default Elo,465,119,0.0893103333713,0.236693263291,0.666936287802
Minimum recent games <=5,Glicko_low_fixed,Glicko low inflation,1635,334,0.0566433603599,0.206342626786,0.598093957421
Minimum recent games <=5,Validation_best_Elo,Validation-best Elo,1635,334,0.0373787472768,0.204180770096,0.588389649641
Minimum recent games <=5,best_AdaptiveK,Best adaptive-K Elo,1635,334,0.0416023258316,0.206995503128,0.59530639148
Minimum recent games <=5,Glicko_C0_fixed,Glicko C0,1635,334,0.0745647854295,0.219509509474,0.629673945259
Minimum recent games <=5,Default_Elo,Default Elo,1635,334,0.0336286512655,0.209692263028,0.602240922307
Inactive >=365 days,Glicko_low_fixed,Glicko low inflation,198,148,0.0876910194381,0.188799446248,0.562288708844
Inactive >=365 days,Validation_best_Elo,Validation-best Elo,198,148,0.0757593614774,0.190057721682,0.55163079342
Inactive >=365 days,best_AdaptiveK,Best adaptive-K Elo,198,148,0.0403069378773,0.19042173176,0.555341075117
Inactive >=365 days,Glicko_C0_fixed,Glicko C0,198,148,0.106118797523,0.217356426828,0.626088036529
Inactive >=365 days,Default_Elo,Default Elo,198,148,0.0541120297788,0.195680448629,0.570289164798
Both players active last 365 days,Glicko_low_fixed,Glicko low inflation,11036,626,0.01017998985,0.186479537232,0.548801276167
Both players active last 365 days,Validation_best_Elo,Validation-best Elo,11036,626,0.00906885077708,0.189768721077,0.555903925022
Both players active last 365 days,best_AdaptiveK,Best adaptive-K Elo,11036,626,0.0195770807621,0.1903975192,0.558325008488
Both players active last 365 days,Glicko_C0_fixed,Glicko C0,11036,626,0.028505669951,0.19404393446,0.567755679277
Both players active last 365 days,Default_Elo,Default Elo,11036,626,0.0273875529194,0.193793619307,0.566772472212
