metric,value
fixed_entry_anchor,1500.0
mean_contemporaneous_established_rating,1258.6831326990884
median_contemporaneous_established_rating,1237.3672993271366
mean_initial_minus_contemporaneous_median,262.6588512093879
mean_active_established_365d_median,1314.8478882930515
mean_initial_minus_active_established_365d_median,185.1521117069485
mean_actual_first_opponent_rating,1180.7550147538468
median_actual_first_opponent_rating,1128.9707892838228
mean_initial_minus_actual_opponent_rating,319.24498524615313
mean_current_first_appearance_probability,0.7434483364117653
empirical_first_appearance_win_rate,0.40789473684210525
current_prediction_bias,0.3355535995696601
current_brier,0.3223155238042425
