model,confidence_bin,games,log_loss,brier,accuracy,mean_predicted_probability,actual_win_rate
Conservative_Elo,0.50-0.60,5080,0.6811480276791586,0.24403216309301914,0.5748031496062992,0.5089102915712833,1.0
Conservative_Elo,0.60-0.70,3055,0.6219989217551257,0.21519182976936524,0.6923076923076923,0.5567456487874438,1.0
Conservative_Elo,0.70-0.80,1714,0.49761450166810084,0.15837791314557814,0.8063010501750292,0.6529321752872939,1.0
Conservative_Elo,0.80-0.90,1140,0.3500468203512185,0.09836214195085827,0.8921052631578947,0.7720849201793467,1.0
Conservative_Elo,0.90-1.00,390,0.14068315073906137,0.028856016291073518,0.9717948717948718,0.9078971238216399,1.0
Default_Elo,0.50-0.60,4079,0.6803435792228464,0.24363209894133703,0.5793086540818828,0.5094903808806993,1.0
Default_Elo,0.60-0.70,3070,0.6343612845304513,0.22122279867303857,0.6680781758957655,0.5508643427411173,1.0
Default_Elo,0.70-0.80,2024,0.534477640617008,0.17515471926694604,0.7722332015810277,0.6359792539764151,1.0
Default_Elo,0.80-0.90,1458,0.36713107153435337,0.10572207435692405,0.8799725651577504,0.7668828591764674,1.0
Default_Elo,0.90-1.00,748,0.15965387966380268,0.03704649681339209,0.9612299465240641,0.9066672078259981,1.0
Glicko_C0_match_by_match,0.50-0.60,3290,0.6864556181523699,0.24666782711098273,0.5455927051671733,0.5066052529224184,1.0
Glicko_C0_match_by_match,0.60-0.70,3062,0.6454224096511036,0.22657632213264056,0.6508817766165904,0.546363617196802,1.0
Glicko_C0_match_by_match,0.70-0.80,2349,0.5567452043519231,0.18516332849771677,0.7530864197530864,0.6271143480539657,1.0
Glicko_C0_match_by_match,0.80-0.90,1733,0.4496861299819879,0.13878864877095706,0.8326601269474899,0.7325792264468785,1.0
Glicko_C0_match_by_match,0.90-1.00,945,0.1973114895783556,0.04928250122365835,0.9470899470899471,0.894213750769771,1.0
Glicko_low_inflation_match_by_match,0.50-0.60,2760,0.6836486852291176,0.24527751290779498,0.5550724637681159,0.5080596417738501,1.0
Glicko_low_inflation_match_by_match,0.60-0.70,2664,0.6523345429163269,0.22992154481475127,0.6381381381381381,0.5431994317784077,1.0
Glicko_low_inflation_match_by_match,0.70-0.80,2335,0.5818509954403313,0.1965302929626317,0.7301927194860813,0.6165572889909577,1.0
Glicko_low_inflation_match_by_match,0.80-0.90,2101,0.4661532703578798,0.1451903272739784,0.8238933841028082,0.7274179846817779,1.0
Glicko_low_inflation_match_by_match,0.90-1.00,1519,0.21083310072038425,0.05443726008470913,0.9407504937458855,0.893312506734678,1.0
Validation_best_Elo,0.50-0.60,3039,0.6879174330356329,0.24738794389401472,0.550180980585719,0.5058855604763195,1.0
Validation_best_Elo,0.60-0.70,2785,0.6520740198487676,0.22974818337364966,0.6420107719928186,0.5427030788898767,1.0
Validation_best_Elo,0.70-0.80,2291,0.5818730245483861,0.19660356857387076,0.729375818419904,0.6154919986588466,1.0
Validation_best_Elo,0.80-0.90,1825,0.4382809176311937,0.13452086068898444,0.8378082191780822,0.7377030475810676,1.0
Validation_best_Elo,0.90-1.00,1439,0.20379590010223808,0.05229782675051717,0.9430159833217512,0.8962653439194554,1.0
