analysis_role,subgroup,games,events,glicko_brier,elo_brier,delta_brier,glicko_logloss,elo_logloss,delta_logloss,inflation_delta_brier,adaptive_delta_brier,delta_brier_ci_lower,delta_brier_ci_upper,delta_logloss_ci_lower,delta_logloss_ci_upper,inflation_delta_brier_ci_lower,inflation_delta_brier_ci_upper,bootstrap_replications,small_sample_warning,interpretation_flag,meeting_message
primary,Overall,11379,629,0.187723898475,0.19007264006,0.00234874158473,0.552153543275,0.556534255949,0.00438071267316,0.00801871512714,0.00305752406084,0.000902437539385,0.00378880173053,0.000674190169877,0.00781134166333,0.00622794165643,0.00984721988323,2000,False,robust_glicko_advantage,Glicko low inflation is better overall than validation-best Elo on paired Brier and log loss.
primary,Overall excluding debut,11305,629,0.186865848273,0.189945768873,0.00307992060027,0.550034382748,0.556244096884,0.00620971413627,0.00789842907469,0.00369377487315,0.0016108058058,0.00452798273213,0.00265682472789,0.00971447895147,0.00608543421964,0.00974891718178,2000,False,robust_glicko_advantage,"After removing debut matches, the overall Glicko advantage becomes larger."
primary,Exactly one debut,72,58,0.320719805882,0.208328529584,-0.112391276298,0.880974688905,0.598298455535,-0.282676233371,0.0271280380881,-0.0967577590647,-0.159484089149,-0.068207738224,-0.412047977058,-0.160205087734,0.00839525915261,0.0473718605634,2000,False,initialisation_mismatch,Validation-best Elo is clearly better in the debut subgroup; this is a stable initialisation mismatch diagnostic.
secondary,New but not debut: 1-5 games,391,118,0.230292852678,0.237473573823,0.00718072114524,0.66442736001,0.674105286557,0.00967792654758,-0.00142039195267,0.0105866266161,-0.0159656619699,0.0288199437389,-0.0520677923723,0.0660849918135,-0.00999736783727,0.00767095381268,2000,False,uncertain,Exploratory subgroup result; use effect size and CI rather than a categorical claim.
secondary,Total previous games 21-50,1258,264,0.187117608302,0.192715013272,0.00559740496994,0.548574844022,0.560411647549,0.0118368035268,0.00703598849509,0.00780363489158,0.00168600797306,0.00938510203528,0.00149498874644,0.0213558315241,0.00168813942311,0.0124307083987,2000,False,robust_glicko_advantage,Exploratory subgroup result; use effect size and CI rather than a categorical claim.
secondary,Recent activity 6-15,2649,453,0.181675408836,0.185680023781,0.00400461494476,0.535369366849,0.542776369341,0.00740700249234,0.00811436836906,0.00639898614625,0.00110649415631,0.00707078587957,-0.000108154770364,0.0151934169444,0.00404098117245,0.0126247508892,2000,False,uncertain,Exploratory subgroup result; use effect size and CI rather than a categorical claim.
exploratory,"Returning >=365 days, no debut",198,148,0.188835410496,0.190057721682,0.00122231118524,0.560715442806,0.55163079342,-0.00908464938619,0.0286147500149,0.00158632126319,-0.0143249196019,0.0157614213347,-0.0557395812903,0.0321223014519,0.0162834569796,0.0417283376051,2000,False,uncertain,"RD inflation improves Glicko C0 for returners, but Glicko-vs-Elo evidence remains uncertain in this small subgroup."
exploratory,"Returning >=730 days, no debut",83,73,0.16707177086,0.172272337595,0.00520056673506,0.499144285523,0.50967288226,0.0105285967373,0.0439566320261,0.0136615802797,-0.0117172234588,0.0216056563345,-0.0285374146711,0.0491902073182,0.0221100811522,0.0669336364213,2000,False,uncertain,"RD inflation improves Glicko C0 for returners, but Glicko-vs-Elo evidence remains uncertain in this small subgroup."
primary,Both active and no debut,11036,626,0.186642932994,0.189768721077,0.00312578808283,0.549399610245,0.555903925022,0.00650431477704,0.00747702817043,0.00375458620644,0.00176747703905,0.00453753239819,0.00313502587479,0.00991685747849,0.00553828363377,0.00925298116089,2000,False,robust_glicko_advantage,Exploratory subgroup result; use effect size and CI rather than a categorical claim.
exploratory,No-debut RD quartile 3,2826,455,0.181090701265,0.185102517834,0.00401181656829,0.5362743166,0.545173234132,0.00889891753167,0.00776148712837,0.00506417146289,0.00207603707241,0.00586385294806,0.0040185326554,0.0137466116906,0.00396693445557,0.0118042901114,2000,False,robust_glicko_advantage,No-debut RD results support an uncertainty mechanism but are not monotonic.
exploratory,No-debut RD quartile 4,2826,426,0.184462126532,0.187679701388,0.00321757485592,0.542564738525,0.547152554262,0.00458781573735,0.01206504224,0.00648536804402,-0.00168098679263,0.00793319941542,-0.00724860088377,0.015864697753,0.00767542020214,0.0167060435282,2000,False,uncertain,No-debut RD results support an uncertainty mechanism but are not monotonic.
