model,model_display,subgroup,games,events,mean_complement_gap,mean_abs_complement_gap,median_abs_complement_gap,p90_abs_complement_gap,max_abs_complement_gap,current_matches_direct_when_outcome_a_1,current_matches_one_minus_b_when_outcome_a_0
Glicko_C0,Glicko C0,Overall,11379,629,0.000274012562387,0.00262381852767,9.30324662468e-06,0.00639556489588,0.0878489451028,6093,5286
Glicko_C0,Glicko C0,No debut,11305,629,-0.000110200908967,0.00224174268506,5.78371741422e-06,0.00595578859023,0.0771867831995,6047,5258
Glicko_C0,Glicko C0,Exactly one debut,72,58,0.0606084753232,0.0626879162739,0.0686105381638,0.0847896990219,0.0878489451028,45,27
Glicko_C0,Glicko C0,"Returning >=365 days, no debut",198,148,-0.000799494476318,0.00536651060488,0.000900400908067,0.0151770839676,0.0668362450612,98,100
Glicko_C0,Glicko C0,Both active and no debut,11036,626,-0.000105189734568,0.00218412551982,1.58933251751e-06,0.00569926236274,0.0771867831995,5920,5116
Glicko_C0,Glicko C0,No-debut high RD quartile,2827,426,-0.000109531920098,0.00778640556124,0.00295793027947,0.0213135600896,0.0771867831995,1523,1304
Glicko_low,Glicko low inflation,Overall,11379,629,-0.000228129354177,0.00392987055515,0.00139441230156,0.00892889807283,0.0817971491399,6093,5286
Glicko_low,Glicko low inflation,No debut,11305,629,-0.000537148630576,0.00358291539941,0.00137774553937,0.00854800277597,0.0740177985634,6047,5258
Glicko_low,Glicko low inflation,Exactly one debut,72,58,0.0482858520484,0.0585158118994,0.0657815242223,0.0774083694377,0.0817971491399,45,27
Glicko_low,Glicko low inflation,"Returning >=365 days, no debut",198,148,-0.00218164430269,0.013940928527,0.00849818848914,0.0358171671089,0.0740177985634,98,100
Glicko_low,Glicko low inflation,Both active and no debut,11036,626,-0.000519579831699,0.00340165690827,0.00134200971926,0.00811512508956,0.0678284089981,5920,5116
Glicko_low,Glicko low inflation,No-debut high RD quartile,2827,426,-0.00126928582028,0.0099451481669,0.00688555769623,0.0232533673128,0.0740177985634,1523,1304
