sample,model,display_name,source_model,model_family,evaluation_games,events,brier,log_loss,accuracy,mean_favourite_probability,favourite_win_rate,corrected_favourite_calibration_error,accuracy_tie_rule
Either player debut,Glicko_low_fixed,Glicko low inflation,Step32 fixed direct player-A probability from Glicko_low_inflation_match_by_match,Glicko,74,60,0.324269997421,0.901045391595,0.513513513514,0.777231357837,0.513513513514,0.271157279255,p_a >= 0.5 predicts player A
Either player debut,Glicko_C0_fixed,Glicko C0,Step32 fixed direct player-A probability from Glicko_C0_match_by_match,Glicko,74,60,0.351249293154,0.969825820788,0.459459459459,0.780050464723,0.459459459459,0.320591005264,p_a >= 0.5 predicts player A
Either player debut,Validation_best_Elo,Validation-best Elo,Step29 player-A probability from Validation_best_Elo,Elo,74,60,0.209454785541,0.600861934589,0.648648648649,0.646469642,0.648648648649,0.0558238248165,p_a >= 0.5 predicts player A
Either player debut,best_AdaptiveK,Best adaptive-K Elo,Step29 player-A probability from AdaptiveK_PreviousYearGames_Elo_scale300,Elo,74,60,0.224665775282,0.635672045359,0.608108108108,0.645140199061,0.608108108108,0.0638655934831,p_a >= 0.5 predicts player A
Either player debut,Default_Elo,Default Elo,Step29 player-A probability from Default_Elo,Elo,74,60,0.220392814334,0.629610335018,0.621621621622,0.592494079361,0.621621621622,0.0291275422609,p_a >= 0.5 predicts player A
Exactly one debut,Glicko_low_fixed,Glicko low inflation,Step32 fixed direct player-A probability from Glicko_low_inflation_match_by_match,Glicko,72,58,0.326333052904,0.906820341902,0.513888888889,0.784932228888,0.513888888889,0.278689425901,p_a >= 0.5 predicts player A
Exactly one debut,Glicko_C0_fixed,Glicko C0,Step32 fixed direct player-A probability from Glicko_C0_match_by_match,Glicko,72,58,0.35406177352,0.977511338572,0.458333333333,0.787829644299,0.458333333333,0.329496310965,p_a >= 0.5 predicts player A
Exactly one debut,Validation_best_Elo,Validation-best Elo,Step29 player-A probability from Validation_best_Elo,Elo,72,58,0.208328529584,0.598298455535,0.652777777778,0.650538243166,0.652777777778,0.057374486617,p_a >= 0.5 predicts player A
Exactly one debut,best_AdaptiveK,Best adaptive-K Elo,Step29 player-A probability from AdaptiveK_PreviousYearGames_Elo_scale300,Elo,72,58,0.223962046817,0.634075513826,0.611111111111,0.649171871258,0.611111111111,0.0656396377466,p_a >= 0.5 predicts player A
Exactly one debut,Default_Elo,Default Elo,Step29 player-A probability from Default_Elo,Elo,72,58,0.21957039251,0.627845422641,0.625,0.595063359343,0.625,0.0299366406571,p_a >= 0.5 predicts player A
Both players debut,Glicko_low_fixed,Glicko low inflation,Step32 fixed direct player-A probability from Glicko_low_inflation_match_by_match,Glicko,2,2,0.25,0.69314718056,0.5,0.5,0.5,0,p_a >= 0.5 predicts player A
Both players debut,Glicko_C0_fixed,Glicko C0,Step32 fixed direct player-A probability from Glicko_C0_match_by_match,Glicko,2,2,0.25,0.69314718056,0.5,0.5,0.5,0,p_a >= 0.5 predicts player A
Both players debut,Validation_best_Elo,Validation-best Elo,Step29 player-A probability from Validation_best_Elo,Elo,2,2,0.25,0.69314718056,0.5,0.5,0.5,0,p_a >= 0.5 predicts player A
Both players debut,best_AdaptiveK,Best adaptive-K Elo,Step29 player-A probability from AdaptiveK_PreviousYearGames_Elo_scale300,Elo,2,2,0.25,0.69314718056,0.5,0.5,0.5,0,p_a >= 0.5 predicts player A
Both players debut,Default_Elo,Default Elo,Step29 player-A probability from Default_Elo,Elo,2,2,0.25,0.69314718056,0.5,0.5,0.5,0,p_a >= 0.5 predicts player A
No debut,Glicko_low_fixed,Glicko low inflation,Step32 fixed direct player-A probability from Glicko_low_inflation_match_by_match,Glicko,11305,629,0.186709283032,0.54949250286,0.712781954887,0.721196831199,0.712781954887,0.00974106458387,p_a >= 0.5 predicts player A
No debut,Glicko_C0_fixed,Glicko C0,Step32 fixed direct player-A probability from Glicko_C0_match_by_match,Glicko,11305,629,0.194689552838,0.569353217408,0.695267580716,0.693257753903,0.695267580716,0.00524650588004,p_a >= 0.5 predicts player A
No debut,Validation_best_Elo,Validation-best Elo,Step29 player-A probability from Validation_best_Elo,Elo,11305,629,0.189945768873,0.556244096884,0.704820875719,0.711607906271,0.704820875719,0.00690371045517,p_a >= 0.5 predicts player A
No debut,best_AdaptiveK,Best adaptive-K Elo,Step29 player-A probability from AdaptiveK_PreviousYearGames_Elo_scale300,Elo,11305,629,0.190559623146,0.558684123101,0.706855373728,0.688420517658,0.706855373728,0.0184348560702,p_a >= 0.5 predicts player A
No debut,Default_Elo,Default Elo,Step29 player-A probability from Default_Elo,Elo,11305,629,0.193983809914,0.567226925012,0.701636444051,0.674371110714,0.701636444051,0.027265333337,p_a >= 0.5 predicts player A
