subgroup,games,events,glicko_brier,elo_brier,delta_brier,delta_brier_ci_lower,delta_brier_ci_upper,glicko_logloss,elo_logloss,delta_logloss,delta_logloss_ci_lower,delta_logloss_ci_upper,glicko_accuracy,elo_accuracy,inflation_delta_brier,adaptive_delta_brier,small_sample_warning,interpretation
Overall,11379,629,0.187603868924,0.19007264006,0.00246877113577,0.00104512101398,0.00391054036157,0.5517787243,0.556534255949,0.00475553164832,0.00130475367488,0.00830701001134,0.711486070832,0.704455576061,0.00810382441625,0.00317755361188,False,Glicko advantage with CI above zero
Overall excluding debut,11305,629,0.186709283032,0.189945768873,0.00323648584105,0.0018386789284,0.00470735591941,0.54949250286,0.556244096884,0.0067515940243,0.0034407951256,0.0101933308549,0.712781954887,0.704820875719,0.00798026980524,0.00385034011392,False,Glicko advantage with CI above zero
Exactly one debut,72,58,0.326333052904,0.208328529584,-0.118004523321,-0.16216993303,-0.072543272493,0.906820341902,0.598298455535,-0.308521886367,-0.43401760941,-0.182290807871,0.513888888889,0.652777777778,0.0277287206151,-0.102371006087,False,Elo better in debut diagnostic group
Total previous games <=5,465,119,0.245701697551,0.233014669881,-0.0126870276692,-0.0310377497256,0.00699934670588,0.703577935979,0.662449355276,-0.0411285807027,-0.0907119432676,0.0110824987192,0.627956989247,0.615053763441,0.00301230014507,-0.00740246362635,False,uncertain; CI crosses zero
Recent games <=5,1635,334,0.206342626786,0.204180770096,-0.00216185668996,-0.00866609854154,0.004646773112,0.598093957421,0.588389649641,-0.00970430777983,-0.0270266707102,0.00826936379185,0.677675840979,0.667278287462,0.0131668826883,0.00065287634258,False,uncertain; CI crosses zero
"Inactive >=365 days, no debut",198,148,0.188799446248,0.190057721682,0.00125827543344,-0.013756144203,0.0153222110965,0.562288708844,0.55163079342,-0.0106579154238,-0.0576245263553,0.0296503698846,0.727272727273,0.69696969697,0.0285569805798,0.00162228551139,False,uncertain; CI crosses zero
"Inactive >=730 days, no debut",83,73,0.167562009345,0.172272337595,0.00471032824986,-0.0125775514254,0.0224414847146,0.504619514566,0.509672882261,0.00505336769492,-0.0392054114086,0.0485484565987,0.746987951807,0.710843373494,0.0434538288715,0.0131713417945,False,uncertain; CI crosses zero
Both players active last 365 days,11036,626,0.186479537232,0.189768721077,0.00328918384435,0.00197441008945,0.00462345739139,0.548801276167,0.555903925022,0.00710264885456,0.00381826858132,0.0104686366056,0.712939470823,0.705509242479,0.00756439722761,0.00391798196796,False,Glicko advantage with CI above zero
Highest no-debut RD quartile,2826,426,0.184099603236,0.187679701388,0.00358009815186,-0.00125357098904,0.00837512738736,0.541188806005,0.547152554262,0.00596374825738,-0.00626944885579,0.017936091936,0.718329794763,0.700990799717,0.0121881661982,0.00684789133997,False,uncertain; CI crosses zero
Lowest no-debut RD quartile,2827,321,0.195226966429,0.197799501609,0.00257253517915,0.000881579757602,0.00445767159259,0.570415462912,0.575961096544,0.00554563363215,0.00166575095523,0.0099515991913,0.691192076406,0.688362221436,0.00830417662348,0.00211043552965,False,Glicko advantage with CI above zero
