group_type,group,group_order,model,model_display,number_of_appearances,number_of_unique_players,number_of_unique_matches,mean_predicted_win_probability,empirical_win_rate,prediction_bias,mean_absolute_probability_error,brier,log_loss,accuracy
cumulative_threshold,first_1,1,Validation_best_Elo,Validation-best Elo,76,76,74,0.538536322451,0.407894736842,0.130641585609,0.428913428124,0.210521764869,0.603290493694,0.644736842105
cumulative_threshold,first_1,1,Glicko_low_fixed,Glicko low inflation,76,76,74,0.743448336412,0.407894736842,0.33555359957,0.484279779438,0.322315523804,0.895574386042,0.513157894737
cumulative_threshold,first_1,1,Glicko_C0_fixed,Glicko C0,76,76,74,0.768340970702,0.407894736842,0.36044623386,0.507606460857,0.348584838071,0.96254480394,0.460526315789
cumulative_threshold,first_1,1,best_AdaptiveK,Adaptive-K Elo,76,76,74,0.570253722717,0.407894736842,0.162358985875,0.445907345178,0.225332465406,0.637184548917,0.605263157895
cumulative_threshold,first_5,5,Validation_best_Elo,Validation-best Elo,406,108,387,0.532999264933,0.443349753695,0.0896495112384,0.449100366483,0.233807953524,0.665533015688,0.610837438424
cumulative_threshold,first_5,5,Glicko_low_fixed,Glicko low inflation,406,108,387,0.586370151745,0.443349753695,0.14302039805,0.428480993703,0.253808941437,0.72802832434,0.62315270936
cumulative_threshold,first_5,5,Glicko_C0_fixed,Glicko C0,406,108,387,0.590453398319,0.443349753695,0.147103644625,0.434098454803,0.25751143574,0.738634224531,0.600985221675
cumulative_threshold,first_5,5,best_AdaptiveK,Adaptive-K Elo,406,108,387,0.559399732859,0.443349753695,0.116049979165,0.459365672282,0.240644046145,0.678199942545,0.603448275862
cumulative_threshold,first_10,10,Validation_best_Elo,Validation-best Elo,855,166,785,0.495715647593,0.430409356725,0.0653062908683,0.434394738224,0.22107566027,0.631453812056,0.631578947368
cumulative_threshold,first_10,10,Glicko_low_fixed,Glicko low inflation,855,166,785,0.509801506396,0.430409356725,0.0793921496709,0.408312578926,0.231488602934,0.668945086146,0.65730994152
cumulative_threshold,first_10,10,Glicko_C0_fixed,Glicko C0,855,166,785,0.517202183458,0.430409356725,0.0867928267332,0.415567680261,0.235211970632,0.680254514821,0.649122807018
cumulative_threshold,first_10,10,best_AdaptiveK,Adaptive-K Elo,855,166,785,0.523835975645,0.430409356725,0.0934266189199,0.446170639255,0.228034524813,0.646552930194,0.626900584795
cumulative_threshold,first_20,20,Validation_best_Elo,Validation-best Elo,1695,255,1463,0.475674431667,0.43185840708,0.043816024587,0.422712926989,0.212655670543,0.609092479357,0.650147492625
cumulative_threshold,first_20,20,Glicko_low_fixed,Glicko low inflation,1695,255,1463,0.476958271279,0.43185840708,0.0450998641996,0.393092862884,0.216537661186,0.626529625302,0.670796460177
cumulative_threshold,first_20,20,Glicko_C0_fixed,Glicko C0,1695,255,1463,0.480629394157,0.43185840708,0.0487709870775,0.402866373435,0.220813770494,0.637987320212,0.66017699115
cumulative_threshold,first_20,20,best_AdaptiveK,Adaptive-K Elo,1695,255,1463,0.501583884351,0.43185840708,0.069725477271,0.434025001506,0.21792612033,0.622152899857,0.648967551622
cumulative_threshold,first_30,30,Validation_best_Elo,Validation-best Elo,2399,302,1987,0.462523464034,0.431429762401,0.0310937016327,0.414054914547,0.207941388583,0.596980989992,0.659441433931
cumulative_threshold,first_30,30,Glicko_low_fixed,Glicko low inflation,2399,302,1987,0.462636965398,0.431429762401,0.0312072029973,0.385840869364,0.210440878613,0.609853113488,0.676115047937
cumulative_threshold,first_30,30,Glicko_C0_fixed,Glicko C0,2399,302,1987,0.46821732371,0.431429762401,0.036787561309,0.397640458729,0.215172661451,0.622245650577,0.667361400584
cumulative_threshold,first_30,30,best_AdaptiveK,Adaptive-K Elo,2399,302,1987,0.487305861186,0.431429762401,0.0558760987852,0.426195920574,0.213338067817,0.610619979689,0.654856190079
cumulative_threshold,first_50,50,Validation_best_Elo,Validation-best Elo,3502,381,2749,0.453469091113,0.435750999429,0.0177180916837,0.412994813979,0.208436977369,0.598685965424,0.661050828098
cumulative_threshold,first_50,50,Glicko_low_fixed,Glicko low inflation,3502,381,2749,0.456193228843,0.435750999429,0.0204422294145,0.387720718265,0.209100378287,0.605556725889,0.673900628212
cumulative_threshold,first_50,50,Glicko_C0_fixed,Glicko C0,3502,381,2749,0.462862008067,0.435750999429,0.027111008638,0.401565395468,0.21411132463,0.618611146917,0.66590519703
cumulative_threshold,first_50,50,best_AdaptiveK,Adaptive-K Elo,3502,381,2749,0.475638527382,0.435750999429,0.0398875279533,0.424230578548,0.212104661895,0.608143110345,0.658195316962
