group,threshold,model,model_display,number_of_appearances,number_of_unique_players,mean_predicted_probability,empirical_win_rate,prediction_bias,ci_lower,ci_upper,bootstrap_unit,bootstrap_repetitions,random_seed
first_1,1,Validation_best_Elo,Validation-best Elo,76,76,0.538536322451,0.407894736842,0.130641585609,0.0302139952924,0.222077043785,focal_player_id_cluster,2000,20260717
first_1,1,Glicko_low_fixed,Glicko low inflation,76,76,0.743448336412,0.407894736842,0.33555359957,0.232603697893,0.435088480342,focal_player_id_cluster,2000,20260718
first_1,1,Glicko_C0_fixed,Glicko C0,76,76,0.768340970702,0.407894736842,0.36044623386,0.257665925142,0.468498030144,focal_player_id_cluster,2000,20260719
first_1,1,best_AdaptiveK,Adaptive-K Elo,76,76,0.570253722717,0.407894736842,0.162358985875,0.0576527629783,0.264674288149,focal_player_id_cluster,2000,20260720
first_5,5,Validation_best_Elo,Validation-best Elo,406,108,0.532999264933,0.443349753695,0.0896495112384,0.0316556462762,0.148250626093,focal_player_id_cluster,2000,20260721
first_5,5,Glicko_low_fixed,Glicko low inflation,406,108,0.586370151745,0.443349753695,0.14302039805,0.102646443381,0.182766595063,focal_player_id_cluster,2000,20260722
first_5,5,Glicko_C0_fixed,Glicko C0,406,108,0.590453398319,0.443349753695,0.147103644625,0.105363764773,0.187822545642,focal_player_id_cluster,2000,20260723
first_5,5,best_AdaptiveK,Adaptive-K Elo,406,108,0.559399732859,0.443349753695,0.116049979165,0.0591308694969,0.171441325601,focal_player_id_cluster,2000,20260724
first_10,10,Validation_best_Elo,Validation-best Elo,855,166,0.495715647593,0.430409356725,0.0653062908683,0.0259387786854,0.107465290674,focal_player_id_cluster,2000,20260725
first_10,10,Glicko_low_fixed,Glicko low inflation,855,166,0.509801506396,0.430409356725,0.0793921496709,0.0484587149085,0.108904499227,focal_player_id_cluster,2000,20260726
first_10,10,Glicko_C0_fixed,Glicko C0,855,166,0.517202183458,0.430409356725,0.0867928267332,0.0585023804305,0.11743522671,focal_player_id_cluster,2000,20260727
first_10,10,best_AdaptiveK,Adaptive-K Elo,855,166,0.523835975645,0.430409356725,0.0934266189199,0.0522392493057,0.132513802407,focal_player_id_cluster,2000,20260728
first_20,20,Validation_best_Elo,Validation-best Elo,1695,255,0.475674431667,0.43185840708,0.043816024587,0.0148559619217,0.0716685814929,focal_player_id_cluster,2000,20260729
first_20,20,Glicko_low_fixed,Glicko low inflation,1695,255,0.476958271279,0.43185840708,0.0450998641996,0.0234840420492,0.0654802657351,focal_player_id_cluster,2000,20260730
first_20,20,Glicko_C0_fixed,Glicko C0,1695,255,0.480629394157,0.43185840708,0.0487709870775,0.0258947521796,0.0699951909812,focal_player_id_cluster,2000,20260731
first_20,20,best_AdaptiveK,Adaptive-K Elo,1695,255,0.501583884351,0.43185840708,0.069725477271,0.0423722334421,0.0965095520936,focal_player_id_cluster,2000,20260732
first_30,30,Validation_best_Elo,Validation-best Elo,2399,302,0.462523464034,0.431429762401,0.0310937016327,0.00879923841941,0.0525831712151,focal_player_id_cluster,2000,20260733
first_30,30,Glicko_low_fixed,Glicko low inflation,2399,302,0.462636965398,0.431429762401,0.0312072029973,0.0148083184644,0.0493291323322,focal_player_id_cluster,2000,20260734
first_30,30,Glicko_C0_fixed,Glicko C0,2399,302,0.46821732371,0.431429762401,0.036787561309,0.0176187265311,0.0556807845371,focal_player_id_cluster,2000,20260735
first_30,30,best_AdaptiveK,Adaptive-K Elo,2399,302,0.487305861186,0.431429762401,0.0558760987852,0.0342544809134,0.0786990635065,focal_player_id_cluster,2000,20260736
first_50,50,Validation_best_Elo,Validation-best Elo,3502,381,0.453469091113,0.435750999429,0.0177180916837,-0.000600058506007,0.0360729042879,focal_player_id_cluster,2000,20260737
first_50,50,Glicko_low_fixed,Glicko low inflation,3502,381,0.456193228843,0.435750999429,0.0204422294145,0.00627423881476,0.0343485459165,focal_player_id_cluster,2000,20260738
first_50,50,Glicko_C0_fixed,Glicko C0,3502,381,0.462862008067,0.435750999429,0.027111008638,0.0119583068394,0.0430735201506,focal_player_id_cluster,2000,20260739
first_50,50,best_AdaptiveK,Adaptive-K Elo,3502,381,0.475638527382,0.435750999429,0.0398875279533,0.0207718114498,0.0595495360183,focal_player_id_cluster,2000,20260740
