metric,value
number_of_appearances,76.0
number_of_unique_players,76.0
number_of_unique_matches,74.0
number_of_both_debut_matches,2.0
mean_focal_rating,1500.0
median_focal_rating,1500.0
minimum_focal_rating,1500.0
maximum_focal_rating,1500.0
mean_opponent_rating,1180.7550147543684
median_opponent_rating,1128.9707892850001
mean_focal_minus_opponent_rating,319.2449852456316
median_focal_minus_opponent_rating,371.029210715
rating_difference_p10,-8.910596964999968
rating_difference_p25,202.27238903249997
rating_difference_p50,371.029210715
rating_difference_p75,476.3075834875
rating_difference_p90,574.14647658
mean_focal_RD,350.0
median_focal_RD,350.0
mean_opponent_RD,139.24621051431578
median_opponent_RD,119.05918016550001
mean_Glicko_predicted_probability,0.7434483364116711
median_Glicko_predicted_probability,0.8073633050155
Glicko_probability_p10,0.49142363576549997
Glicko_probability_p25,0.685356307378
Glicko_probability_p50,0.8073633050155
Glicko_probability_p75,0.8622877753685
Glicko_probability_p90,0.9012488916715
empirical_win_rate,0.40789473684210525
prediction_bias,0.3355535995695658
