candidate_initial_rating,group_type,group,group_order,number_of_appearances,number_of_unique_players,number_of_unique_matches,mean_predicted_probability,empirical_win_rate,prediction_bias,brier,log_loss,accuracy
1000,appearance_stage,1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.895574386041908,0.5131578947368421
1000,appearance_stage,2-5,2,330,106,316,0.5501945698212919,0.45151515151515154,0.09867941830614031,0.23803166792251637,0.6894419586151774,0.6484848484848484
1000,appearance_stage,6-10,3,449,121,433,0.44056571572457254,0.41870824053452116,0.021857475190051455,0.21130584696004176,0.6155201536133472,0.688195991091314
1000,appearance_stage,11-20,4,840,171,794,0.44352854982102297,0.43333333333333335,0.010195216487689692,0.20131973833450686,0.5833567455146906,0.6845238095238095
1000,appearance_stage,21-50,5,1807,199,1633,0.43671522832945475,0.4394023242944106,-0.0026870959649558583,0.20212406699021604,0.5858837516199,0.6768123962368566
1000,appearance_stage,51+,6,19256,786,10626,0.5079669356351456,0.5116846697133361,-0.0037177340781905737,0.1836943978094375,0.54199836692773,0.718321562110511
1100,appearance_stage,1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.895574386041908,0.5131578947368421
1100,appearance_stage,2-5,2,330,106,316,0.5501945698212919,0.45151515151515154,0.09867941830614034,0.23803166792251637,0.6894419586151775,0.6484848484848484
1100,appearance_stage,6-10,3,449,121,433,0.44056571572457265,0.41870824053452116,0.021857475190051445,0.21130584696004176,0.6155201536133472,0.688195991091314
1100,appearance_stage,11-20,4,840,171,794,0.44352854982102297,0.43333333333333335,0.01019521648768968,0.20131973833450686,0.5833567455146906,0.6845238095238095
1100,appearance_stage,21-50,5,1807,199,1633,0.43671522832945475,0.4394023242944106,-0.0026870959649558635,0.20212406699021604,0.5858837516199,0.6768123962368566
1100,appearance_stage,51+,6,19256,786,10626,0.5079669356351455,0.5116846697133361,-0.0037177340781905707,0.18369439780943753,0.54199836692773,0.718321562110511
1200,appearance_stage,1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.895574386041908,0.5131578947368421
1200,appearance_stage,2-5,2,330,106,316,0.5501945698212919,0.45151515151515154,0.09867941830614035,0.23803166792251637,0.6894419586151775,0.6484848484848484
1200,appearance_stage,6-10,3,449,121,433,0.44056571572457254,0.41870824053452116,0.02185747519005145,0.21130584696004176,0.6155201536133472,0.688195991091314
1200,appearance_stage,11-20,4,840,171,794,0.44352854982102297,0.43333333333333335,0.010195216487689672,0.20131973833450686,0.5833567455146906,0.6845238095238095
1200,appearance_stage,21-50,5,1807,199,1633,0.43671522832945475,0.4394023242944106,-0.0026870959649558683,0.20212406699021607,0.5858837516199,0.6768123962368566
1200,appearance_stage,51+,6,19256,786,10626,0.5079669356351455,0.5116846697133361,-0.003717734078190572,0.1836943978094375,0.54199836692773,0.718321562110511
1300,appearance_stage,1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.895574386041908,0.5131578947368421
1300,appearance_stage,2-5,2,330,106,316,0.5501945698212919,0.45151515151515154,0.09867941830614035,0.23803166792251637,0.6894419586151775,0.6484848484848484
1300,appearance_stage,6-10,3,449,121,433,0.44056571572457254,0.41870824053452116,0.021857475190051445,0.21130584696004176,0.6155201536133472,0.688195991091314
1300,appearance_stage,11-20,4,840,171,794,0.44352854982102297,0.43333333333333335,0.010195216487689677,0.20131973833450686,0.5833567455146906,0.6845238095238095
1300,appearance_stage,21-50,5,1807,199,1633,0.43671522832945475,0.4394023242944106,-0.002687095964955857,0.20212406699021604,0.5858837516199,0.6768123962368566
1300,appearance_stage,51+,6,19256,786,10626,0.5079669356351455,0.5116846697133361,-0.003717734078190573,0.1836943978094375,0.54199836692773,0.718321562110511
1400,appearance_stage,1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.8955743860419079,0.5131578947368421
1400,appearance_stage,2-5,2,330,106,316,0.5501945698212919,0.45151515151515154,0.09867941830614031,0.23803166792251637,0.6894419586151775,0.6484848484848484
1400,appearance_stage,6-10,3,449,121,433,0.44056571572457265,0.41870824053452116,0.021857475190051462,0.21130584696004176,0.6155201536133472,0.688195991091314
1400,appearance_stage,11-20,4,840,171,794,0.4435285498210231,0.43333333333333335,0.010195216487689701,0.20131973833450686,0.5833567455146906,0.6845238095238095
1400,appearance_stage,21-50,5,1807,199,1633,0.43671522832945475,0.4394023242944106,-0.002687095964955872,0.20212406699021604,0.5858837516199,0.6768123962368566
1400,appearance_stage,51+,6,19256,786,10626,0.5079669356351455,0.5116846697133361,-0.003717734078190573,0.1836943978094375,0.54199836692773,0.718321562110511
1500,appearance_stage,1,1,76,76,74,0.7434483364117653,0.40789473684210525,0.33555359956966013,0.3223155238042425,0.895574386041908,0.5131578947368421
1500,appearance_stage,2-5,2,330,106,316,0.5501945698212918,0.45151515151515154,0.09867941830614034,0.23803166792251637,0.6894419586151775,0.6484848484848484
1500,appearance_stage,6-10,3,449,121,433,0.44056571572457265,0.41870824053452116,0.021857475190051445,0.21130584696004173,0.6155201536133472,0.688195991091314
1500,appearance_stage,11-20,4,840,171,794,0.443528549821023,0.43333333333333335,0.010195216487689687,0.20131973833450686,0.5833567455146906,0.6845238095238095
1500,appearance_stage,21-50,5,1807,199,1633,0.43671522832945475,0.4394023242944106,-0.002687095964955884,0.20212406699021607,0.5858837516199,0.6768123962368566
1500,appearance_stage,51+,6,19256,786,10626,0.5079669356351455,0.5116846697133361,-0.0037177340781905707,0.1836943978094375,0.54199836692773,0.718321562110511
