candidate_initial_rating,distribution,number_of_rated_players,count,mean,median,std,p10,p25,p75,p90,minimum,maximum,interpretation_note
1000,final_2025_player_ratings,5143,5143,757.8810617233967,736.4557739987386,269.54409782959476,435.2390351146818,578.6465850954796,916.5562244099103,1111.410776183386,-123.85134806735311,1833.0283193539228,Pure location shifts should not be interpreted as ranking-quality improvements.
1100,final_2025_player_ratings,5143,5143,857.8810617233968,836.4557739987386,269.5440978295948,535.2390351146819,678.6465850954796,1016.5562244099103,1211.4107761833857,-23.85134806735321,1933.0283193539228,Pure location shifts should not be interpreted as ranking-quality improvements.
1200,final_2025_player_ratings,5143,5143,957.8810617233968,936.4557739987384,269.54409782959465,635.239035114682,778.6465850954794,1116.5562244099103,1311.4107761833857,76.14865193264696,2033.0283193539224,Pure location shifts should not be interpreted as ranking-quality improvements.
1300,final_2025_player_ratings,5143,5143,1057.8810617233967,1036.4557739987386,269.54409782959476,735.239035114682,878.6465850954795,1216.5562244099103,1411.4107761833857,176.1486519326469,2133.0283193539217,Pure location shifts should not be interpreted as ranking-quality improvements.
1400,final_2025_player_ratings,5143,5143,1157.8810617233967,1136.4557739987386,269.544097829595,835.239035114682,978.6465850954796,1316.55622440991,1511.4107761833857,276.1486519326468,2233.028319353922,Pure location shifts should not be interpreted as ranking-quality improvements.
1500,final_2025_player_ratings,5143,5143,1257.8810617233967,1236.4557739987386,269.5440978295949,935.2390351146819,1078.6465850954794,1416.55622440991,1611.4107761833857,376.1486519326469,2333.028319353922,Pure location shifts should not be interpreted as ranking-quality improvements.
1000,opponent_ratings_faced_by_first_1_players,73,76,680.7550147538468,628.9707892838227,239.00948133161455,425.85352342008156,523.6924165109144,797.7276109640691,1008.9105969648746,155.05040273065978,1234.0850140715152,Opponent ratings faced by debut players under this candidate initial rating.
1100,opponent_ratings_faced_by_first_1_players,73,76,780.7550147538468,728.9707892838227,239.00948133161455,525.8535234200815,623.6924165109145,897.7276109640688,1108.9105969648745,255.0504027306596,1334.0850140715152,Opponent ratings faced by debut players under this candidate initial rating.
1200,opponent_ratings_faced_by_first_1_players,73,76,880.7550147538468,828.9707892838227,239.00948133161452,625.8535234200815,723.6924165109144,997.727610964069,1208.9105969648745,355.05040273066,1434.0850140715152,Opponent ratings faced by debut players under this candidate initial rating.
1300,opponent_ratings_faced_by_first_1_players,73,76,980.7550147538467,928.9707892838227,239.0094813316146,725.8535234200815,823.6924165109145,1097.7276109640688,1308.9105969648745,455.0504027306597,1534.085014071515,Opponent ratings faced by debut players under this candidate initial rating.
1400,opponent_ratings_faced_by_first_1_players,73,76,1080.7550147538468,1028.9707892838228,239.00948133161458,825.8535234200815,923.6924165109144,1197.727610964069,1408.9105969648745,555.0504027306597,1634.085014071515,Opponent ratings faced by debut players under this candidate initial rating.
1500,opponent_ratings_faced_by_first_1_players,73,76,1180.7550147538468,1128.9707892838228,239.0094813316146,925.8535234200815,1023.6924165109144,1297.727610964069,1508.9105969648745,655.0504027306597,1734.085014071515,Opponent ratings faced by debut players under this candidate initial rating.
