candidate_initial_rating,model_label,analysis_group,band_order,probability_band,number_of_appearances,mean_predicted_probability,empirical_win_rate,prediction_bias,brier,log_loss
1500,selected_and_current_1500,first_1,1,0.00-<0.20,0,,,,,
1500,selected_and_current_1500,first_1,2,0.20-<0.40,5,0.3210045613481382,0.0,0.3210045613481382,0.10414132928088504,0.3883757785427809
1500,selected_and_current_1500,first_1,3,0.40-<0.60,9,0.5001831534924173,0.2222222222222222,0.2779609312701951,0.25176865684289296,0.6969263777584751
1500,selected_and_current_1500,first_1,4,0.60-<0.80,20,0.7108462310359754,0.25,0.46084623103597544,0.40658967851755995,1.0370659519717296
1500,selected_and_current_1500,first_1,5,0.80-1.00,42,0.861392327581005,0.5714285714285714,0.28996375615243364,0.3232752781138279,0.931145666838339
1500,selected_and_current_1500,first_5,1,0.00-<0.20,43,0.12007945788481902,0.11627906976744186,0.0038003881173771566,0.11388163653002835,0.41462374809771796
1500,selected_and_current_1500,first_5,2,0.20-<0.40,67,0.30568075256631044,0.31343283582089554,-0.007752083254585071,0.21506082608806512,0.6217289354318649
1500,selected_and_current_1500,first_5,3,0.40-<0.60,88,0.5105383560427008,0.4431818181818182,0.06735653786088261,0.2391941017758718,0.6713902270255213
1500,selected_and_current_1500,first_5,4,0.60-<0.80,91,0.7158057342594724,0.46153846153846156,0.25426727272101074,0.3118561915468323,0.8312480831930334
1500,selected_and_current_1500,first_5,5,0.80-1.00,117,0.8748423704953915,0.6239316239316239,0.2509107465637676,0.2932688044258358,0.8664010623183321
