comparison,analysis_group,bootstrap_unit,bootstrap_replications,random_seed,metric,point_estimate,ci_lower,ci_upper,paired_rows,clusters,positive_delta_means
initial_1500_minus_initial_1500,overall_2025,event_key,2000,20260717,delta_brier,0.0,0.0,0.0,11379,629,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,overall_2025,event_key,2000,20260717,delta_log_loss,0.0,0.0,0.0,11379,629,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,first_1,focal_player_id,2000,20260718,delta_brier,0.0,0.0,0.0,76,76,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,first_1,focal_player_id,2000,20260718,delta_log_loss,0.0,0.0,0.0,76,76,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,first_5,focal_player_id,2000,20260722,delta_brier,0.0,0.0,0.0,406,108,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,first_5,focal_player_id,2000,20260722,delta_log_loss,0.0,0.0,0.0,406,108,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,first_10,focal_player_id,2000,20260727,delta_brier,0.0,0.0,0.0,855,166,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,first_10,focal_player_id,2000,20260727,delta_log_loss,0.0,0.0,0.0,855,166,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,first_20,focal_player_id,2000,20260737,delta_brier,0.0,0.0,0.0,1695,255,validation-selected initial rating is better than 1500
initial_1500_minus_initial_1500,first_20,focal_player_id,2000,20260737,delta_log_loss,0.0,0.0,0.0,1695,255,validation-selected initial rating is better than 1500
