scope,group,metric,symmetric_to_glicko_gap,asymmetric_improvement,recovery_fraction,interpretation
overall_2025,all_matches,brier,0.003177553611881684,-4.718447854656915e-16,-1.484930997549006e-13,0 means no recovery; 1 means full recovery of Glicko gap
overall_2025,all_matches,log_loss,0.007406067246748638,-6.661338147750939e-16,-8.994433787615628e-14,0 means no recovery; 1 means full recovery of Glicko gap
early_game_2025,first_1,brier,-0.0969830583984371,5.412337245047638e-15,-5.5807038202611055e-14,0 means no recovery; 1 means full recovery of Glicko gap
early_game_2025,first_1,log_loss,-0.25838983712450403,5.218048215738236e-15,-2.019447929457048e-14,0 means no recovery; 1 means full recovery of Glicko gap
early_game_2025,first_5,brier,-0.0131648952928054,2.609024107869118e-15,-1.9818039185582786e-13,0 means no recovery; 1 means full recovery of Glicko gap
early_game_2025,first_5,log_loss,-0.04982838179516336,-2.275957200481571e-14,4.567592039889381e-13,0 means no recovery; 1 means full recovery of Glicko gap
early_game_2025,first_10,brier,-0.0034540781213567573,-4.107825191113079e-15,1.1892681771480984e-12,0 means no recovery; 1 means full recovery of Glicko gap
early_game_2025,first_10,log_loss,-0.022392155951939663,-1.8762769116165146e-14,8.379170436484866e-13,0 means no recovery; 1 means full recovery of Glicko gap
early_game_2025,first_20,brier,0.0013884591442364647,-6.5503158452884236e-15,-4.71768713719736e-12,0 means no recovery; 1 means full recovery of Glicko gap
early_game_2025,first_20,log_loss,-0.0043767254451564375,-1.787459069646502e-14,4.084010048253353e-12,0 means no recovery; 1 means full recovery of Glicko gap
