scope,group,convention,number_of_observations,glicko_brier,glicko_log_loss,glicko_prediction_bias,elo_minus_glicko_delta_brier,delta_brier_ci_lower,delta_brier_ci_upper,elo_minus_glicko_delta_log_loss,delta_log_loss_ci_lower,delta_log_loss_ci_upper,conclusion
match_level,all_2025_matches,current,11379,0.18760386892430575,0.5517787243002343,0.0019808564107388626,0.0024687711357753994,0.0010793233537615189,0.003957180943467741,0.004755531648314215,0.0011322782123829034,0.0083722527014217,GLICKO_BETTER
match_level,all_2025_matches,reversed,11379,0.1880981532817149,0.5539083938524725,0.002208985764915461,0.001974486778366258,0.0004624905442276048,0.003432331216365193,0.0026258620960760704,-0.0011736787701578405,0.006422201646089224,GLICKO_BETTER
match_level,all_2025_matches,midpoint,11379,0.1878307345367521,0.5526608881599345,0.002094921087827162,0.002241905523329063,0.0008131648235311275,0.003736220624473172,0.003873367788614024,0.00013754461340450275,0.0076911474917783435,GLICKO_BETTER
match_level,either_player_first_1,current,74,0.3242699974202546,0.9010453915946649,-0.35833281772291403,-0.1148152118794391,-0.15789586799231867,-0.06945892390138958,-0.300183457005302,-0.42114907620194375,-0.17721531417420025,ELO_BETTER
match_level,either_player_first_1,reversed,74,0.3633577635411736,1.0633787718497025,-0.4053136467428591,-0.15390297800035813,-0.21209306255280272,-0.0993692317655029,-0.46251683726033965,-0.6402387767930703,-0.29405164691717234,ELO_BETTER
match_level,either_player_first_1,midpoint,74,0.3428809889042945,0.9699608093386896,-0.3818232322328866,-0.13342620336347905,-0.1821223836675062,-0.08293823214259129,-0.3690988747493267,-0.5178502435680185,-0.2243070234415483,ELO_BETTER
match_level,either_player_first_5,current,387,0.25301497155823527,0.7237003524878902,-0.14868614795647228,-0.01975586543561908,-0.03933499608488045,0.0010151024170152413,-0.05903294033557838,-0.11150010295868899,-0.003936634713275742,NO_CLEAR_DIFFERENCE
match_level,either_player_first_5,reversed,387,0.26580701971382537,0.7818668213921718,-0.16349058458188498,-0.03254791359120918,-0.05353981026134174,-0.010365382419579289,-0.11719940923985994,-0.1759910267027175,-0.05544211618298423,ELO_BETTER
match_level,either_player_first_5,midpoint,387,0.25903574107739674,0.7483309529274511,-0.1560883662691787,-0.025776634954780553,-0.04626856517139892,-0.0038893941402836788,-0.08366354077513927,-0.1373010757868994,-0.028306229856461262,ELO_BETTER
match_level,either_player_first_10,current,785,0.22756382940146117,0.6569509579047144,-0.08801607129592615,-0.007721189215986801,-0.02095586448783494,0.006764198109041461,-0.028194024648455662,-0.06311203901721425,0.009281188535968888,NO_CLEAR_DIFFERENCE
match_level,either_player_first_10,reversed,785,0.23447231822519865,0.6880376680822424,-0.09444769735646952,-0.014629678039724286,-0.02905713668572048,0.0013019663580075191,-0.05928073482598373,-0.09925607852443767,-0.017877474300857562,NO_CLEAR_DIFFERENCE
match_level,either_player_first_10,midpoint,785,0.2308066826998934,0.6701380521482382,-0.09123188432619789,-0.010964042514419042,-0.02557418446006659,0.0033240795149685593,-0.041381118891979485,-0.0804999326705683,-0.003691940433001739,NO_CLEAR_DIFFERENCE
match_level,either_player_first_20,current,1463,0.21125364511601694,0.6115207806528086,-0.048985796111802204,-0.001248898546312216,-0.010489498802832828,0.007550765954386234,-0.008898325579536848,-0.032162363949621825,0.013842461097864082,NO_CLEAR_DIFFERENCE
match_level,either_player_first_20,reversed,1463,0.21512179605251355,0.6284921504478561,-0.051660928743555545,-0.005117049482808833,-0.01456706307233168,0.004172815801222382,-0.02586969537458439,-0.05120711099013174,-0.001001911042927712,NO_CLEAR_DIFFERENCE
match_level,either_player_first_20,midpoint,1463,0.213064818542361,0.618710607484916,-0.050323362427678875,-0.0030600719726562864,-0.012132310547688678,0.006197526603151157,-0.016088152411644296,-0.03943227188608003,0.00768838092411307,NO_CLEAR_DIFFERENCE
appearance_level,first_1,current,76,0.32231552380393214,0.8955743860411198,0.3355535995692485,-0.1117937589352434,-0.1585712192572867,-0.06743228934368792,-0.29228389234726804,-0.43018824098088704,-0.1696711719430606,ELO_BETTER
appearance_level,first_1,reversed,76,0.36037466450061634,1.0536358352368145,0.3790992426700132,-0.1498528996319276,-0.2030648405490947,-0.09582330971718575,-0.4503453415429627,-0.6147784763766818,-0.2820089245514671,ELO_BETTER
appearance_level,first_1,midpoint,76,0.3404367523541816,0.9626762401603016,0.3573264211196308,-0.12991498748549285,-0.1817805794767475,-0.08006465247065883,-0.35938574646644983,-0.5112263894023785,-0.21271973276377393,ELO_BETTER
appearance_level,first_5,current,406,0.25380894143720256,0.7280283243401723,0.1430203980499083,-0.020000987912930313,-0.0371411077044425,-0.002412398903779453,-0.06249530865228803,-0.10933392824773298,-0.016031671284365924,ELO_BETTER
appearance_level,first_5,reversed,406,0.265977946050651,0.784742715252337,0.15632491951811045,-0.032169992526378755,-0.05105177771978533,-0.01381657149438956,-0.11920969956445271,-0.1733521302845354,-0.0665978693142984,ELO_BETTER
appearance_level,first_5,midpoint,406,0.2595337511417374,0.752058585456134,0.14967265878400937,-0.02572579761746513,-0.045255076632802475,-0.007029352587222545,-0.08652556976824977,-0.13963554842630904,-0.03553652965237258,ELO_BETTER
appearance_level,first_10,current,855,0.2314886029339883,0.6689450861455634,0.07939214967091451,-0.010412942664404234,-0.022510893592683077,0.0022059179338728544,-0.03749127408953201,-0.06923528124505822,-0.0025890185128176627,NO_CLEAR_DIFFERENCE
appearance_level,first_10,reversed,855,0.23826931170229387,0.7012942279391498,0.08495072885986038,-0.017193651432709817,-0.03014588548710696,-0.005035985259396915,-0.0698404158831184,-0.10545419917281197,-0.03438513301725159,ELO_BETTER
appearance_level,first_10,midpoint,855,0.23467338112169148,0.6826394086574191,0.08217143926538745,-0.01359772085210742,-0.02598955669500684,-0.0014285887651235391,-0.05118559660138777,-0.08581223477148875,-0.01860246148037643,ELO_BETTER
