match_id,player_id,full_history_match_sequence,full_history_opponent_id,full_history_focal_side,p_focal_current_convention,in_full_history,step33_match_sequence,step33_opponent_id,step33_focal_side,in_step33,step34_match_sequence,step34_opponent_id,step34_focal_side,p_focal_Glicko_low_fixed,in_step34,match_sequence_agrees,opponent_id_agrees,focal_side_agrees,probability_difference_full_minus_step34,all_sources_agree
445078,5023,445119,3251,B,0.899641811711526,True,445119,3251,B,True,445119,3251,B,0.899641811712,True,True,True,True,-4.739542092124793e-13,True
445081,5022,445122,4183,B,0.6089833520520901,True,445122,4183,B,True,445122,4183,B,0.608983352052,True,True,True,True,9.00390872971002e-14,True
445157,5129,445153,3762,B,0.8135756839402618,True,445153,3762,B,True,445153,3762,B,0.81357568394,True,True,True,True,2.617905892066119e-13,True
445237,5025,445233,4724,B,0.933008651534295,True,445233,4724,B,True,445233,4724,B,0.933008651534,True,True,True,True,2.949862576429041e-13,True
445349,5026,445345,1732,B,0.8700592973846831,True,445345,1732,B,True,445345,1732,B,0.870059297385,True,True,True,True,-3.168576512280197e-13,True
445461,5028,445457,4811,B,0.7043423337061252,True,445457,4811,B,True,445457,4811,B,0.704342333706,True,True,True,True,1.2523315717771766e-13,True
445462,5029,445458,3657,B,0.8260088377049211,True,445458,3657,B,True,445458,3657,B,0.826008837705,True,True,True,True,-7.893685705084863e-14,True
445475,5030,445479,4700,B,0.898298766893711,True,445479,4700,B,True,445479,4700,B,0.898298766894,True,True,True,True,-2.8899105330992825e-13,True
445751,5118,445747,4914,B,0.8029090306691452,True,445747,4914,B,True,445747,4914,B,0.802909030669,True,True,True,True,1.4521717162097048e-13,True
445763,5119,445759,5123,A,0.8452328097009231,True,445759,5123,A,True,445759,5123,A,0.845232809701,True,True,True,True,-7.693845560652335e-14,True
445792,5092,445788,5103,A,0.6474897181874473,True,445788,5103,A,True,445788,5103,A,0.647489718187,True,True,True,True,4.4730885662147557e-13,True
445932,5035,445928,4904,B,0.8567264027272191,True,445928,4904,B,True,445928,4904,B,0.856726402727,True,True,True,True,2.191580250610059e-13,True
446079,5037,446075,4259,B,0.8094627870840483,True,446075,4259,B,True,446075,4259,B,0.809462787084,True,True,True,True,4.829470157119431e-14,True
446087,5120,446083,4581,B,0.8737397141970811,True,446083,4581,B,True,446083,4581,B,0.873739714197,True,True,True,True,8.104628079763643e-14,True
446233,5038,446229,4338,B,0.7224313294379279,True,446229,4338,B,True,446229,4338,B,0.722431329438,True,True,True,True,-7.216449660063518e-14,True
446511,5057,446490,4326,B,0.89418048154076,True,446490,4326,B,True,446490,4326,B,0.894180481541,True,True,True,True,-2.4003021792395884e-13,True
447175,5044,447183,4323,B,0.8072022456928727,True,447183,4323,B,True,447183,4323,B,0.807202245693,True,True,True,True,-1.2734258092450546e-13,True
447475,5045,447471,3847,B,0.7421342654598243,True,447471,3847,B,True,447471,3847,B,0.74213426546,True,True,True,True,-1.7574830479816228e-13,True
447524,5046,447520,2993,B,0.815450118265022,True,447520,2993,B,True,447520,2993,B,0.815450118265,True,True,True,True,2.19824158875781e-14,True
447553,5047,447549,4940,B,0.8652182491472842,True,447549,4940,B,True,447549,4940,B,0.865218249147,True,True,True,True,2.8421709430404007e-13,True
447605,5051,447601,4926,B,0.44671986650010764,True,447601,4926,B,True,447601,4926,B,0.4467198665,True,True,True,True,1.0763612223740893e-13,True
447760,5050,447738,4714,B,0.7346827740044187,True,447738,4714,B,True,447738,4714,B,0.734682774004,True,True,True,True,4.1877612488860905e-13,True
447749,5049,447780,1826,B,0.5176119665478054,True,447780,1826,B,True,447780,1826,B,0.517611966548,True,True,True,True,-1.9462209621678994e-13,True
448691,5052,448699,4653,B,0.7974482740400711,True,448699,4653,B,True,448699,4653,B,0.79744827404,True,True,True,True,7.116529587847253e-14,True
448931,5054,448927,2359,B,0.7590944071992626,True,448927,2359,B,True,448927,2359,B,0.759094407199,True,True,True,True,2.625677453238495e-13,True
449050,5056,449046,4364,B,0.8555662751802557,True,449046,4364,B,True,449046,4364,B,0.85556627518,True,True,True,True,2.5579538487363607e-13,True
449209,5058,449205,4165,B,0.4588865989211969,True,449205,4165,B,True,449205,4165,B,0.458886598921,True,True,True,True,1.968980534172715e-13,True
449259,5065,449255,4124,B,0.382901346343118,True,449255,4124,B,True,449255,4124,B,0.382901346343,True,True,True,True,1.1801670751765414e-13,True
449279,5061,449275,5062,A,0.5,True,449275,5062,A,True,449275,5062,A,0.5,True,True,True,True,0.0,True
449279,5062,449275,5061,B,0.5,True,449275,5061,B,True,449275,5061,B,0.5,True,True,True,True,0.0,True
449709,5068,449579,4505,B,0.9028559716311898,True,449579,4505,B,True,449579,4505,B,0.902855971631,True,True,True,True,1.8984813721090177e-13,True
449710,5069,449580,5002,B,0.8963533121451166,True,449580,5002,B,True,449580,5002,B,0.896353312145,True,True,True,True,1.1657341758564144e-13,True
449712,5070,449582,4529,B,0.7390730039292748,True,449582,4529,B,True,449582,4529,B,0.739073003929,True,True,True,True,2.7478019859472624e-13,True
449713,5064,449583,1711,B,0.8763096464613037,True,449583,1711,B,True,449583,1711,B,0.876309646461,True,True,True,True,3.0375701953744283e-13,True
449882,5059,449876,4123,B,0.8957272708747628,True,449876,4123,B,True,449876,4123,B,0.895727270875,True,True,True,True,-2.3725466036239595e-13,True
449955,5086,449951,4999,B,0.8744717781921538,True,449951,4999,B,True,449951,4999,B,0.874471778192,True,True,True,True,1.538769112130467e-13,True
450419,5087,450547,4021,B,0.7205254508033379,True,450547,4021,B,True,450547,4021,B,0.720525450803,True,True,True,True,3.3784086639343514e-13,True
450730,5093,450726,4936,B,0.8543719863250924,True,450726,4936,B,True,450726,4936,B,0.854371986325,True,True,True,True,9.237055564881302e-14,True
450855,5166,450829,5168,A,0.5,True,450829,5168,A,True,450829,5168,A,0.5,True,True,True,True,0.0,True
450855,5168,450829,5166,B,0.5,True,450829,5166,B,True,450829,5166,B,0.5,True,True,True,True,0.0,True
450957,5066,450953,4852,B,0.7332770419024253,True,450953,4852,B,True,450953,4852,B,0.733277041902,True,True,True,True,4.2521541843143495e-13,True
450958,5067,450954,4978,B,0.7436903342298569,True,450954,4978,B,True,450954,4978,B,0.74369033423,True,True,True,True,-1.4310774787418268e-13,True
451220,5140,451193,4761,B,0.8062906577233634,True,451193,4761,B,True,451193,4761,B,0.806290657723,True,True,True,True,3.6337599595981374e-13,True
451239,5072,451235,4900,B,0.8649864257094467,True,451235,4900,B,True,451235,4900,B,0.864986425709,True,True,True,True,4.46753745109163e-13,True
451251,5071,451247,4734,B,0.7623918966764746,True,451247,4734,B,True,451247,4734,B,0.762391896676,True,True,True,True,4.745093207247919e-13,True
