year,entry_cohort,evidence_status,n_first_appearances,n_unique_players,n_unique_matches,n_both_new_matches,mean_current_probability,mean_direct_probability,empirical_win_rate,current_prediction_bias,direct_prediction_bias,current_brier,direct_brier,current_log_loss,direct_log_loss,mean_opponent_rating,median_opponent_rating,mean_initial_minus_opponent_rating,median_initial_minus_opponent_rating,mean_contemporaneous_established_rating,median_contemporaneous_established_rating,mean_initial_minus_contemporaneous_median,median_initial_minus_contemporaneous_median,mean_active_established_365d_median,mean_initial_minus_active_established_365d_median,mean_probability_difference_direct_minus_current,mean_contemporaneous_pool_size,share_contemporaneous_scale_available,share_active_scale_available
1985,system_start_left_censored,model-start left-censored descriptive context,314,314,235,79,0.5043725410712724,0.5034802096467048,0.4426751592356688,0.06169738183560358,0.06080505041103601,0.2415782267698458,0.24388770967734782,0.6753924468003252,0.6831396643323454,1497.3347187112283,1500.0,2.665281288771801,0.0,1488.7117319549736,1466.7948541931328,30.70645151931053,33.20514580686711,1469.2935484806892,30.70645151931053,-0.000892331424567498,156.2484076433121,0.9936305732484076,0.9936305732484076
1986,within_5y_burn_in_recorded_entry,burn-in descriptive context,118,118,111,7,0.4285248906493831,0.41670571159379455,0.2288135593220339,0.1997113313273492,0.18789215227176065,0.21045849473524883,0.21418090852561186,0.6061982287741652,0.6141622831788013,1580.8665872439017,1563.3500148000737,-80.86658724390189,-63.35001480007372,1466.8435087899059,1448.9331030918124,52.42363996709292,51.06689690818757,1465.9857052646046,34.014294735395524,-0.011819179055588453,372.4406779661017,1.0,1.0
1987,within_5y_burn_in_recorded_entry,burn-in descriptive context,74,74,69,5,0.4731354007080393,0.47183817244060855,0.2702702702702703,0.202865130437769,0.20156790217033826,0.23390167944564166,0.2371964941629952,0.6580190675359646,0.6657636684341004,1535.6267505422754,1500.0,-35.626750542275246,0.0,1458.4951340429097,1451.8455886315678,52.143369460926046,48.15441136843219,1464.2572248997465,35.74277510025367,-0.0012972282674307168,468.43243243243245,1.0,1.0
1988,within_5y_burn_in_recorded_entry,burn-in descriptive context,94,94,88,6,0.4861643110620316,0.482212621792278,0.2765957446808511,0.20956856638118054,0.2056168771114269,0.23409901564902225,0.23762676827740054,0.6598420187117752,0.6683596404502059,1516.415904850811,1500.0,-16.415904850811074,0.0,1444.469828318716,1432.2694250162206,69.15191730610427,67.73057498377943,1461.9206382699826,38.07936173001735,-0.003951689269753597,552.436170212766,1.0,1.0
1989,within_5y_burn_in_recorded_entry,burn-in descriptive context,170,170,150,20,0.422757678785159,0.40473878631664484,0.2823529411764706,0.14040473760868843,0.12238584514017425,0.21184842900652925,0.2114095256874659,0.6119401332116802,0.6147238578036905,1599.9843549055322,1500.0,-99.98435490553197,0.0,1434.9154696738387,1420.436337075385,79.96962525956675,79.56366292461496,1454.4174976073134,45.58250239268664,-0.018018892468514198,684.3823529411765,1.0,1.0
1990,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,111,111,103,8,0.5366180652018937,0.5443009676327397,0.40540540540540543,0.13121265979648827,0.1388955622273343,0.19287864349501216,0.1922601338658208,0.5681116943878158,0.5664475479663473,1462.6606938407076,1491.6343181439604,37.339306159292505,8.3656818560396,1424.0263299931523,1408.429812180544,91.23650575910497,91.5701878194559,1456.3337141975205,43.66628580247951,0.007682902430846252,824.927927927928,1.0,1.0
1991,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,164,164,156,8,0.4250086213405008,0.4067365096239841,0.2621951219512195,0.1628134993892813,0.1445413876727646,0.21672340066461412,0.21865434588664392,0.6207337648142538,0.6286034988634716,1592.7072985483928,1559.553400248416,-92.70729854839276,-59.55340024841598,1418.8056231152113,1402.058734788171,97.73000850736334,97.94126521182898,1462.1319659326105,37.86803406738959,-0.018272111716516763,962.4512195121952,1.0,1.0
1992,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,137,137,133,4,0.4853180955149244,0.48180263341106744,0.24087591240875914,0.24444218310616525,0.2409267210023083,0.21684091872368344,0.22403279505963888,0.6202957002723701,0.6413668181605964,1523.4274553729797,1500.0,-23.427455372979523,0.0,1408.3455840975942,1389.7435462055628,110.8080630826195,110.25645379443722,1436.577458805265,63.42254119473502,-0.0035154621038569387,1112.970802919708,1.0,1.0
1993,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,151,151,142,9,0.5046365754584817,0.508228628842564,0.31788079470198677,0.18675578075649496,0.19034783414057727,0.22979313928679915,0.23774144401335465,0.6484374734724789,0.6725962136317428,1505.1724748709498,1500.0,-5.172474870949483,0.0,1398.9363242167474,1378.768657738582,121.97107188119422,121.23134226141792,1433.229596898351,66.77040310164894,0.0035920533840822486,1256.9403973509934,1.0,1.0
1994,post_burn_in_recorded_entry,in-sample descriptive mechanism evidence,100,100,95,5,0.5140851018443309,0.5098044895746725,0.37,0.14408510184433088,0.1398044895746725,0.2051423782448915,0.20661753326649943,0.6040006396785538,0.6085450778285847,1487.0567063396427,1500.0,12.943293660356883,0.0,1393.9277935340851,1376.2632746559607,124.3979429972133,123.73672534403931,1425.5837203968106,74.41627960318921,-0.004280612269658426,1382.45,1.0,1.0
