headline,reference_value,new_value,absolute_difference,relative_difference,passed
glicko_low_brier,0.187604,0.187604,0.0,0.0,True
glicko_low_log_loss,0.551779,0.551779,0.0,0.0,True
glicko_low_accuracy,0.711486,0.711486,0.0,0.0,True
validation_best_elo_brier,0.190073,0.190073,0.0,0.0,True
validation_best_elo_log_loss,0.556534,0.556534,0.0,0.0,True
validation_best_elo_accuracy,0.704456,0.704456,0.0,0.0,True
adaptive_k_brier,0.190781,0.190781,0.0,0.0,True
adaptive_k_log_loss,0.559185,0.559185,0.0,0.0,True
adaptive_k_accuracy,0.706213,0.706213,0.0,0.0,True
glicko_c0_brier,0.195708,0.195708,0.0,0.0,True
glicko_c0_log_loss,0.571958,0.571958,0.0,0.0,True
glicko_c0_accuracy,0.693734,0.693734,0.0,0.0,True
main_brier_improvement,0.002469,0.002469,0.0,0.0,True
main_log_loss_improvement,0.004756,0.004756,0.0,0.0,True
inflation_brier_improvement,0.008104,0.008104,0.0,0.0,True
validation_checks_passed,32.0,32.0,0.0,0.0,True
validation_checks_total,32.0,32.0,0.0,0.0,True
